เดือน,จำนวน,_id,ปี พ.ศ.,ประเภทรถ,ประเภทกฏหมาย
ตุลาคม,41159,1,2568,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,รถยนต์
ตุลาคม,1671,2,2568,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,รถยนต์
ตุลาคม,7501,3,2568,รย. 3 รถยนต์บรรทุกส่วนบุคคล,รถยนต์
ตุลาคม,9,4,2568,รย. 4 รถยนต์สามล้อส่วนบุคคล,รถยนต์
ตุลาคม,638,5,2568,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,รถยนต์
ตุลาคม,12,6,2568,รย. 8 รถยนต์รับจ้างสามล้อ,รถยนต์
ตุลาคม,24,7,2568,รย. 9 รถยนต์บริการธุรกิจ,รถยนต์
ตุลาคม,35,8,2568,รย. 10 รถยนต์บริการทัศนาจร,รถยนต์
ตุลาคม,4,9,2568,รย. 11 รถยนต์บริการให้เช่า,รถยนต์
ตุลาคม,152093,10,2568,รย. 12 รถจักรยานยนต์,รถยนต์
ตุลาคม,3298,11,2568,รย. 13 รถแทร็กเตอร์,รถยนต์
ตุลาคม,60,12,2568,รย. 14 รถบดถนน,รถยนต์
ตุลาคม,16,13,2568,รย. 15 รถใช้ในงานเกษตรกรรม,รถยนต์
ตุลาคม,112,14,2568,รย. 16 รถพ่วง,รถยนต์
ตุลาคม,99,15,2568,รย. 17 รถจักรยานยนต์สาธารณะ,รถยนต์
ตุลาคม,148,16,2568,รถโดยสารประจำทาง,รถขนส่ง
ตุลาคม,319,17,2568,รถโดยสารไม่ประจำทาง,รถขนส่ง
ตุลาคม,40,18,2568,รถโดยสารส่วนบุคคล,รถขนส่ง
ตุลาคม,3038,19,2568,รถบรรทุกไม่ประจำทาง,รถขนส่ง
ตุลาคม,2751,20,2568,รถบรรทุกส่วนบุคคล,รถขนส่ง
