เนื้อที่เพาะปลูก,_id,ปี,หน่วยนับ,อำเภอ,รายการ
24717.0,1,2564/2565,ไร่,เมืองนครสวรรค์,เนื้อที่เพาะปลูกอ้อยโรงงาน
4063.75,2,2564/2565,ไร่,โกรกพระ,เนื้อที่เพาะปลูกอ้อยโรงงาน
0.0,3,2564/2565,ไร่,ชุมแสง,เนื้อที่เพาะปลูกอ้อยโรงงาน
7975.0,4,2564/2565,ไร่,หนองบัว,เนื้อที่เพาะปลูกอ้อยโรงงาน
23894.0,5,2564/2565,ไร่,บรรพตพิสัย,เนื้อที่เพาะปลูกอ้อยโรงงาน
17265.0,6,2564/2565,ไร่,เก้าเลี้ยว,เนื้อที่เพาะปลูกอ้อยโรงงาน
96141.0,7,2564/2565,ไร่,ตาคลี,เนื้อที่เพาะปลูกอ้อยโรงงาน
10098.0,8,2564/2565,ไร่,ท่าตะโก,เนื้อที่เพาะปลูกอ้อยโรงงาน
21433.0,9,2564/2565,ไร่,ไพศาลี,เนื้อที่เพาะปลูกอ้อยโรงงาน
91405.0,10,2564/2565,ไร่,พยุหะคีรี,เนื้อที่เพาะปลูกอ้อยโรงงาน
24277.0,11,2564/2565,ไร่,ลาดยาว,เนื้อที่เพาะปลูกอ้อยโรงงาน
24611.0,12,2564/2565,ไร่,ตากฟ้า,เนื้อที่เพาะปลูกอ้อยโรงงาน
26187.0,13,2564/2565,ไร่,แม่วงก์,เนื้อที่เพาะปลูกอ้อยโรงงาน
38702.0,14,2564/2565,ไร่,แม่เปิน,เนื้อที่เพาะปลูกอ้อยโรงงาน
76196.5,15,2564/2565,ไร่,ชุมตาบง,เนื้อที่เพาะปลูกอ้อยโรงงาน
37956.0,16,2565/2566,ไร่,เมืองนครสวรรค์,เนื้อที่เพาะปลูกอ้อยโรงงาน
8772.0,17,2565/2566,ไร่,โกรกพระ,เนื้อที่เพาะปลูกอ้อยโรงงาน
0.0,18,2565/2566,ไร่,ชุมแสง,เนื้อที่เพาะปลูกอ้อยโรงงาน
14143.0,19,2565/2566,ไร่,หนองบัว,เนื้อที่เพาะปลูกอ้อยโรงงาน
40978.0,20,2565/2566,ไร่,บรรพตพิสัย,เนื้อที่เพาะปลูกอ้อยโรงงาน
31548.0,21,2565/2566,ไร่,เก้าเลี้ยว,เนื้อที่เพาะปลูกอ้อยโรงงาน
179967.0,22,2565/2566,ไร่,ตาคลี,เนื้อที่เพาะปลูกอ้อยโรงงาน
10338.0,23,2565/2566,ไร่,ท่าตะโก,เนื้อที่เพาะปลูกอ้อยโรงงาน
38310.0,24,2565/2566,ไร่,ไพศาลี,เนื้อที่เพาะปลูกอ้อยโรงงาน
132831.0,25,2565/2566,ไร่,พยุหะคีรี,เนื้อที่เพาะปลูกอ้อยโรงงาน
46311.0,26,2565/2566,ไร่,ลาดยาว,เนื้อที่เพาะปลูกอ้อยโรงงาน
108442.0,27,2565/2566,ไร่,ตากฟ้า,เนื้อที่เพาะปลูกอ้อยโรงงาน
58742.0,28,2565/2566,ไร่,แม่วงก์,เนื้อที่เพาะปลูกอ้อยโรงงาน
47677.0,29,2565/2566,ไร่,แม่เปิน,เนื้อที่เพาะปลูกอ้อยโรงงาน
108382.0,30,2565/2566,ไร่,ชุมตาบง,เนื้อที่เพาะปลูกอ้อยโรงงาน
20177.5,31,2566/2567,ไร่,เมืองนครสวรรค์,เนื้อที่เพาะปลูกอ้อยโรงงาน
3260.0,32,2566/2567,ไร่,โกรกพระ,เนื้อที่เพาะปลูกอ้อยโรงงาน
0.0,33,2566/2567,ไร่,ชุมแสง,เนื้อที่เพาะปลูกอ้อยโรงงาน
5474.71,34,2566/2567,ไร่,หนองบัว,เนื้อที่เพาะปลูกอ้อยโรงงาน
19106.0,35,2566/2567,ไร่,บรรพตพิสัย,เนื้อที่เพาะปลูกอ้อยโรงงาน
24575.0,36,2566/2567,ไร่,เก้าเลี้ยว,เนื้อที่เพาะปลูกอ้อยโรงงาน
49340.0,37,2566/2567,ไร่,ตาคลี,เนื้อที่เพาะปลูกอ้อยโรงงาน
6400.0,38,2566/2567,ไร่,ท่าตะโก,เนื้อที่เพาะปลูกอ้อยโรงงาน
16681.0,39,2566/2567,ไร่,ไพศาลี,เนื้อที่เพาะปลูกอ้อยโรงงาน
73793.0,40,2566/2567,ไร่,พยุหะคีรี,เนื้อที่เพาะปลูกอ้อยโรงงาน
7327.0,41,2566/2567,ไร่,ลาดยาว,เนื้อที่เพาะปลูกอ้อยโรงงาน
35031.0,42,2566/2567,ไร่,ตากฟ้า,เนื้อที่เพาะปลูกอ้อยโรงงาน
8911.5,43,2566/2567,ไร่,แม่วงก์,เนื้อที่เพาะปลูกอ้อยโรงงาน
30800.0,44,2566/2567,ไร่,แม่เปิน,เนื้อที่เพาะปลูกอ้อยโรงงาน
51691.0,45,2566/2567,ไร่,ชุมตาบง,เนื้อที่เพาะปลูกอ้อยโรงงาน
28667.0,46,2567/2568,ไร่,เมืองนครสวรรค์,เนื้อที่เพาะปลูกอ้อยโรงงาน
9729.0,47,2567/2568,ไร่,โกรกพระ,เนื้อที่เพาะปลูกอ้อยโรงงาน
36.0,48,2567/2568,ไร่,ชุมแสง,เนื้อที่เพาะปลูกอ้อยโรงงาน
7774.25,49,2567/2568,ไร่,หนองบัว,เนื้อที่เพาะปลูกอ้อยโรงงาน
12300.0,50,2567/2568,ไร่,บรรพตพิสัย,เนื้อที่เพาะปลูกอ้อยโรงงาน
