_id,ปี,หน่วยนับ,เนื้อที่เก็บเกี่ยว,รายการ,จังหวัด
1,2564,ไร่,"265,548",เนื้อที่เก็บเกี่ยว (ข้าวโพดเลี้ยงสัตว์) รุ่น1,นครสวรรค์
2,2564,ไร่,"62,394",เนื้อที่เก็บเกี่ยว (ข้าวโพดเลี้ยงสัตว์) รุ่น2,นครสวรรค์
3,2565,ไร่,"224,350",เนื้อที่เก็บเกี่ยว (ข้าวโพดเลี้ยงสัตว์) รุ่น1,นครสวรรค์
4,2565,ไร่,"30,009",เนื้อที่เก็บเกี่ยว (ข้าวโพดเลี้ยงสัตว์) รุ่น2,นครสวรรค์
5,2566,ไร่,"217,059",เนื้อที่เก็บเกี่ยว (ข้าวโพดเลี้ยงสัตว์) รุ่น1,นครสวรรค์
6,2566,ไร่,"2,358",เนื้อที่เก็บเกี่ยว (ข้าวโพดเลี้ยงสัตว์) รุ่น2,นครสวรรค์
7,2567,ไร่,"175,568",เนื้อที่เก็บเกี่ยว (ข้าวโพดเลี้ยงสัตว์) รุ่น1,นครสวรรค์
8,2567,ไร่,0,เนื้อที่เก็บเกี่ยว (ข้าวโพดเลี้ยงสัตว์) รุ่น2,นครสวรรค์
