ที่มา,ชนิดพืช,_id,ปี,ราคา,หน่วย
สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,1,2561,16.41, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,2,2561,9.58, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,3,2561,14.83, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,4,2561,28.84, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,5,2561,0.74, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,6,2561,18.09, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,7,2561,26.56, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,8,2561,16.36, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,9,2561,17.89, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,10,2561,12.17, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,11,2561,23.24, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,12,2562,19.96, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,13,2562,10.65, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,14,2562,16.13, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,15,2562,50.59, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,16,2562,1.19, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,17,2562,27.02, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,18,2562,26.8, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,19,2562,23.52, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,20,2562,24.98, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,21,2562,8.83, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,22,2562,25.1, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,23,2563,17.43, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,24,2563,13.61, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,25,2563,27.13, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,26,2563,31.49, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,27,2563,1.02, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,28,2563,27.7, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,ชะอม,29,2563,20.33, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะกรูด,30,2563,22.73, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,ตะไคร้,31,2563,29.54, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กะเพรา,32,2563,12.25, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยหอม,33,2563,29.5, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะม่วง,34,2564,16.82, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,กล้วยน้ำว้า,35,2564,13.67, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะพร้าว,36,2564,30.01, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,มะนาว,37,2564,29.96, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,อ้อยโรงงาน,38,2564,0.96, บาทต่อกิโลกรัม 
สำนักงานเกษตรจังหวัดอ่างทอง,ข่า,39,2564,26.58, บาทต่อกิโลกรัม 
