เนื้อที่ปลูกข้าว,ที่มา,_id,ปี,เนื้อที่เก็บเกี่ยว,อำเภอ,ชนิดข้าว,หน่วย
"18,312",สำนักงานเกษตรจังหวัดสมุทรปราการ,1,2562,"18,266",รวม,ข้าวนาปี,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,2,2562,0,เมืองสมุทรปราการ,ข้าวนาปี,ไร่
"14,166",สำนักงานเกษตรจังหวัดสมุทรปราการ,3,2562,"14,120",บางบ่อ,ข้าวนาปี,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,4,2562,0,บางพลี,ข้าวนาปี,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,5,2562,0,พระประแดง,ข้าวนาปี,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,6,2562,0,พระสมุทรเจดีย์,ข้าวนาปี,ไร่
"4,146",สำนักงานเกษตรจังหวัดสมุทรปราการ,7,2562,"4,146",บางเสาธง,ข้าวนาปี,ไร่
"18,312",สำนักงานเกษตรจังหวัดสมุทรปราการ,8,2562,"18,266",รวม,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,9,2562,0,เมืองสมุทรปราการ,ข้าวเจ้า,ไร่
"14,166",สำนักงานเกษตรจังหวัดสมุทรปราการ,10,2562,"14,120",บางบ่อ,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,11,2562,0,บางพลี,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,12,2562,0,พระประแดง,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,13,2562,0,พระสมุทรเจดีย์,ข้าวเจ้า,ไร่
"4,146",สำนักงานเกษตรจังหวัดสมุทรปราการ,14,2562,"4,146",บางเสาธง,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,15,2562,0,รวม,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,16,2562,0,เมืองสมุทรปราการ,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,17,2562,0,บางบ่อ,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,18,2562,0,บางพลี,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,19,2562,0,พระประแดง,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,20,2562,0,พระสมุทรเจดีย์,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,21,2562,0,บางเสาธง,ข้าวเหนียว,ไร่
"18,301",สำนักงานเกษตรจังหวัดสมุทรปราการ,22,2563,"18,256",รวม,ข้าวนาปี,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,23,2563,0,เมืองสมุทรปราการ,ข้าวนาปี,ไร่
"14,159",สำนักงานเกษตรจังหวัดสมุทรปราการ,24,2563,"14,116",บางบ่อ,ข้าวนาปี,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,25,2563,0,บางพลี,ข้าวนาปี,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,26,2563,0,พระประแดง,ข้าวนาปี,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,27,2563,0,พระสมุทรเจดีย์,ข้าวนาปี,ไร่
"4,142",สำนักงานเกษตรจังหวัดสมุทรปราการ,28,2563,"4,140",บางเสาธง,ข้าวนาปี,ไร่
"18,301",สำนักงานเกษตรจังหวัดสมุทรปราการ,29,2563,"18,256",รวม,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,30,2563,0,เมืองสมุทรปราการ,ข้าวเจ้า,ไร่
"14,159",สำนักงานเกษตรจังหวัดสมุทรปราการ,31,2563,"14,116",บางบ่อ,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,32,2563,0,บางพลี,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,33,2563,0,พระประแดง,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,34,2563,0,พระสมุทรเจดีย์,ข้าวเจ้า,ไร่
"4,142",สำนักงานเกษตรจังหวัดสมุทรปราการ,35,2563,"4,140",บางเสาธง,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,36,2563,0,รวม,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,37,2563,0,เมืองสมุทรปราการ,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,38,2563,0,บางบ่อ,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,39,2563,0,บางพลี,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,40,2563,0,พระประแดง,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,41,2563,0,พระสมุทรเจดีย์,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,42,2563,0,บางเสาธง,ข้าวเหนียว,ไร่
"17,759",สำนักงานเกษตรจังหวัดสมุทรปราการ,43,2564,"17,745",รวม,ข้าวนาปี,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,44,2564,0,เมืองสมุทรปราการ,ข้าวนาปี,ไร่
"13,844",สำนักงานเกษตรจังหวัดสมุทรปราการ,45,2564,"13,835",บางบ่อ,ข้าวนาปี,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,46,2564,0,บางพลี,ข้าวนาปี,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,47,2564,0,พระประแดง,ข้าวนาปี,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,48,2564,0,พระสมุทรเจดีย์,ข้าวนาปี,ไร่
"3,915",สำนักงานเกษตรจังหวัดสมุทรปราการ,49,2564,"3,910",บางเสาธง,ข้าวนาปี,ไร่
"17,759",สำนักงานเกษตรจังหวัดสมุทรปราการ,50,2564,"17,745",รวม,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,51,2564,0,เมืองสมุทรปราการ,ข้าวเจ้า,ไร่
"13,844",สำนักงานเกษตรจังหวัดสมุทรปราการ,52,2564,"13,835",บางบ่อ,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,53,2564,0,บางพลี,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,54,2564,0,พระประแดง,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,55,2564,0,พระสมุทรเจดีย์,ข้าวเจ้า,ไร่
"3,915",สำนักงานเกษตรจังหวัดสมุทรปราการ,56,2564,"3,910",บางเสาธง,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,57,2564,0,รวม,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,58,2564,0,เมืองสมุทรปราการ,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,59,2564,0,บางบ่อ,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,60,2564,0,บางพลี,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,61,2564,0,พระประแดง,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,62,2564,0,พระสมุทรเจดีย์,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,63,2564,0,บางเสาธง,ข้าวเหนียว,ไร่
"15,653",สำนักงานเกษตรจังหวัดสมุทรปราการ,64,2565,"15,653",รวม,ข้าวนาปี,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,65,2565,0,เมืองสมุทรปราการ,ข้าวนาปี,ไร่
"12,893",สำนักงานเกษตรจังหวัดสมุทรปราการ,66,2565,"12,893",บางบ่อ,ข้าวนาปี,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,67,2565,0,บางพลี,ข้าวนาปี,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,68,2565,0,พระประแดง,ข้าวนาปี,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,69,2565,0,พระสมุทรเจดีย์,ข้าวนาปี,ไร่
"2,760",สำนักงานเกษตรจังหวัดสมุทรปราการ,70,2565,"2,760",บางเสาธง,ข้าวนาปี,ไร่
"15,653",สำนักงานเกษตรจังหวัดสมุทรปราการ,71,2565,"15,653",รวม,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,72,2565,0,เมืองสมุทรปราการ,ข้าวเจ้า,ไร่
"12,893",สำนักงานเกษตรจังหวัดสมุทรปราการ,73,2565,"12,893",บางบ่อ,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,74,2565,0,บางพลี,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,75,2565,0,พระประแดง,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,76,2565,0,พระสมุทรเจดีย์,ข้าวเจ้า,ไร่
"2,760",สำนักงานเกษตรจังหวัดสมุทรปราการ,77,2565,"2,760",บางเสาธง,ข้าวเจ้า,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,78,2565,0,รวม,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,79,2565,0,เมืองสมุทรปราการ,ข้าวเหนียว,ไร่
0,สำนักงานเกษตรจังหวัดสมุทรปราการ,80,2565,0,บางบ่อ,ข้าวเหนียว,ไร่
