โรงงาน,อ้อยสด (ตัน),"วันเปิดหีบ
/วันปิดหีบ",_id,อ้อยไฟไหม้ (ตัน),คุณภาพความหวาน C.C.S.,น้ำตาลต่ออ้อย 1 ตัน (กก.),อ้อยเข้าหีบ (ตัน),อำเภอ,น้ำตาลที่ผลิตได้ (ก.ส.)
"โรงงานน้ำตาล
ทรายกำแพงเพชร","654,851.04",15-ธ.ค.-67,1,"20,656.74",0,88.68,"675,507.78",เมืองกำแพงเพชร,0
"โรงงานน้ำตาล
นครเพชร","1,948,899.57",15-ธ.ค.-67,2,"179,487.83",11.97,95.62,"2,128,387.40",เมืองกำแพงเพชร,3570.5
"โรงงานน้ำตาล
ทิพย์กำแพงเพชร","2,250,451.36",15-ธ.ค.-67,3,"28,232.39",0,94.58,"2,278,683.75",บึงสามัคคี,"3,335.62"
รวม,"4,854,201.97",-,4,"228,376.96",11.97,83.88,"5,082,578.93",,"6,906.12"
