_id,ปี,เนื้อที่,อำเภอ
1,2568,"26,874",เมืองตาก
2,2568,"3,437",บ้านตาก
3,2568,"4,301",สามเงา
4,2568,"18,597",แม่ระมาด
5,2568,"6,540",ท่าสองยาง
6,2568,"11,867",แม่สอด
7,2568,"12,257",พบพระ
8,2568,"12,514",อุ้มผาง
9,2568,"23,438",วังเจ้า
10,2567,"41,002",เมืองตาก
11,2567,"3,904",บ้านตาก
12,2567,"5,592",สามเงา
13,2567,"28,064",แม่ระมาด
14,2567,"12,595",ท่าสองยาง
15,2567,"14,280",แม่สอด
16,2567,"20,949",พบพระ
17,2567,"26,734",อุ้มผาง
18,2567,"30,225",วังเจ้า
19,2566,"49,482",เมืองตาก
20,2566,"4,604",บ้านตาก
21,2566,"8,273",สามเงา
22,2566,"19,001",แม่ระมาด
23,2566,"11,939",ท่าสองยาง
24,2566,"12,794",แม่สอด
25,2566,"15,353",พบพระ
26,2566,"15,126",อุ้มผาง
27,2566,"30,415.29",วังเจ้า
28,2563,"69,076.58",เมืองตาก
29,2563,"6,175.64",บ้านตาก
30,2563,"15,720.59",สามเงา
31,2563,"12,833.57",แม่ระมาด
32,2563,"10,125.33",ท่าสองยาง
33,2563,"11,974.54",แม่สอด
34,2563,"32,732.07",พบพระ
35,2563,"5,549.15",อุ้มผาง
36,2563,"48,109.51",วังเจ้า
37,2564,"61,860.29",เมืองตาก
38,2564,"6,459.59",บ้านตาก
39,2564,"15,165.61",สามเงา
40,2564,"14,913.96",แม่ระมาด
41,2564,"12,693.67",ท่าสองยาง
42,2564,"14,621.79",แม่สอด
43,2564,"32,616.34",พบพระ
44,2564,"7,021.02",อุ้มผาง
45,2564,"48,188.85",วังเจ้า
46,2565,"60,915.29",เมืองตาก
47,2565,"5,656.03",บ้านตาก
48,2565,"11,599.21",สามเงา
49,2565,"17,398.58",แม่ระมาด
50,2565,"13,711.20",ท่าสองยาง
51,2565,"14,401.75",แม่สอด
52,2565,"25,855.78",พบพระ
53,2565,"11,745.06",อุ้มผาง
54,2565,"41,906.52",วังเจ้า
