_id,ปี,จำนวนโรงงาน,หน่วย
1,2563,18,แห่ง
2,2564,9,แห่ง
3,2565,9,แห่ง
4,2566,2,แห่ง
5,2567,8,แห่ง
6,2568,5,แห่ง
