จำนวนคน,_id,ปี,ประเภทอาชีพ
2946,1,2565,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโส และผู้จัดการ  
15141,2,2565,ผู้ประกอบวิชาชีพด้านต่างๆ
10090,3,2565,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆ    และอาชีพที่เกี่ยวข้อง
13110,4,2565,เสมียน
74505,5,2565,พนักงานบริการและพนักงานในร้านค้า  และตลาด
187627,6,2565,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
33163,7,2565,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง 
19469,8,2565,ผู้ปฏิบัติการโรงงานและเครื่องจักร และผู้ปฏิบัติงานด้านการประกอบ
71389,9,2565,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
7327,10,2566,ผู้บัญญัติกฎหมาย ข้าราชการระดับอาวุโส และผู้จัดการ  
15359,11,2566,ผู้ประกอบวิชาชีพด้านต่างๆ
11316,12,2566,ผู้ประกอบวิชาชีพด้านเทคนิคสาขาต่างๆ    และอาชีพที่เกี่ยวข้อง
8293,13,2566,เสมียน
75495,14,2566,พนักงานบริการและพนักงานในร้านค้า  และตลาด
188926,15,2566,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร และการประมง
38075,16,2566,ผู้ปฏิบัติงานด้านความสามารถทางฝีมือ และธุรกิจอื่นๆที่เกี่ยวข้อง 
16834,17,2566,ผู้ปฏิบัติการโรงงานและเครื่องจักร และผู้ปฏิบัติงานด้านการประกอบ
74233,18,2566,อาชีพขั้นพื้นฐานต่างๆ ในด้านการขาย และการให้บริการ
