จำนวน,_id,ปี,ไตรมาส,จังหวัด
448936,1,2563,1,ชลบุรี
497223,2,2563,2,ชลบุรี
465915,3,2563,3,ชลบุรี
468715,4,2563,4,ชลบุรี
377262,5,2564,1,ชลบุรี
411448,6,2564,2,ชลบุรี
424879,7,2564,3,ชลบุรี
419375,8,2564,4,ชลบุรี
406264,9,2565,1,ชลบุรี
361983,10,2565,2,ชลบุรี
426685,11,2565,3,ชลบุรี
537853,12,2565,4,ชลบุรี
555779,13,2566,1,ชลบุรี
508576,14,2566,2,ชลบุรี
490125,15,2566,3,ชลบุรี
463672,16,2566,4,ชลบุรี
611195,17,2567,1,ชลบุรี
626006,18,2567,2,ชลบุรี
634788,19,2567,3,ชลบุรี
649024,20,2567,4,ชลบุรี
