โรงงาน,อ้อยสด (ตัน),"วันเปิดหีบ
/วันปิดหีบ",_id,อ้อยไฟไหม้ (ตัน),คุณภาพความหวาน C.C.S.,น้ำตาลต่ออ้อย 1 ตัน (กก.),อ้อยเข้าหีบ (ตัน),อำเภอ,น้ำตาลที่ผลิตได้ (ก.ส.)
"โรงงานน้ำตาล
ทรายกำแพงเพชร","680,443.12",13-ธ.ค.-65,1,"19,363.70",0,97.26,"699,806.82",เมืองกำแพงเพชร,983.30
"โรงงานน้ำตาล
นครเพชร","2,122,254.13",13-ธ.ค.-65,2,"231,804.09",0,109.18,"2,354,058.22",เมืองกำแพงเพชร,0.00
"โรงงานน้ำตาล
ทิพย์กำแพงเพชร","2,372,201.02",13-ธ.ค.-65,3,"90,792.44",0,108.35,"2,462,993.46",บึงสามัคคี,"5,595.85"
รวม,"5,174,898.27",-,4,"341,960.23",0,107.3,"5,516,858.50",,"6,579.15"
