มูลค่าผลผลิตรวม,ผลผลิตเฉลี่ย,_id,ปี,ผลผลิต,ราคาเฉลี่ย,พื้นที่เพาะปลูก
1109.19,682,1,2560,23900,46.41,38790
1233.87,398,2,2561,14583,84.61,38863
1904.48,929,3,2562,34627,55,48923
1780.32,1113,4,2563,41880,42.51,39547
1912.79,596,5,2564,22377,85.48,39696
