พื้นที่เก็บเกี่ยว,_id,พ.ศ.,ผลผลิตรวม,มูลค่าผลผลิตรวม,พื้นที่เพาะปลูก,ชนิดพืช,ผลผลิตเฉลี่ย,ราคา
611254.0,1, 2560/2561,397801.0,3587.44,625415.0,ข้าวนาปี*60/61,650.79,9.02
390592.0,2, 2560/2561,280342.0,2100.01,392074.0,ข้าวนาปรัง*60,717.74,7.49
3946.0,3, 2560/2561,1796.0,17.96,3946.0,ข้าวเหนียวนาปี,455.22,10.0
1562.0,4, 2560/2561,1134.0,7.71,1689.0,ข้าวโพดเลี้ยงสัตว์*60/61,725.67,6.8
211901.0,5, 2560/2561,713794.0,1445.43,213994.0,มันสำปะหลัง *60,3368.53,2.03
9258.0,6, 2560/2561,52428.0,248.77,9258.0,อ้อยโรงงาน,5042.61,4.75
9497.0,7, 2560/2561,43862.0,461.21,9582.0,สับปะรดโรงงาน*60,4618.51,10.52
167422.0,8, 2560/2561,30585.0,1508.85,201516.0,ยางพารา*60,182.68,49.33
24960.25,9, 2560/2561,21409.0,507.77,27210.25,มะม่วง,857.38,23.73
13629.0,10,  2560/2561,12258.0,115.09,12994.0,มะพร้าวอ่อน,899.38,9.39
6349.0,11, 2560/2561,4401.0,28.63,8657.0,มะพร้าวแก่,693.11,8.78
7763.0,12, 2560/2561,7844.0,139.23,7768.0,หมาก,1010.44,17.75
22498.0,13, 2560/2561,49410.0,187.32,27587.0,ปาล์มน้ำมัน*60,2196.22,3.79
213732.0,14, 2560/2561,5734.18,959346.78,277897.75,ไม้เศรษฐกิจ (สน+ยูคาฯ),26828.81,167.3
26.0,15, 2560/2561,22.0,0.5,26.0,กะเพรา,853.85,22.5
6.0,16, 2560/2561,4.0,0.11,6.0,โหระพา,700.0,25.0
24.0,17, 2560/2561,21.0,1.72,24.0,สะระแหน่,856.0,83.5
1669.0,18, 2560/2561,2289.0,68.66,1669.0,ข่า,1371.24,30.0
2671.0,19, 2560/2561,3067.0,38.65,2671.0,ตะไคร้,1148.37,12.6
546.0,20, 2560/2561,196.0,6.86,546.0,ชะอม,359.0,35.0
25.0,21, 2560/2561,16.0,0.16,25.0,ข้าวโพดหวาน,650.0,10.0
1284.0,22, 2560/2561,983.0,6.88,1284.0,ไผ่ตง,2250.0,7.0
198.0,23, 2560/2561,176.0,7.03,632.0,มะนาว,887.32,40.0
164.0,24, 2560/2561,136.0,3.63,164.0,พลู,830.18,26.67
191.0,25, 2560/2561,181.0,3.92,191.0,คะน้า,487.0,21.67
169.0,26, 2560/2561,180.0,3.06,170.5,กวางตุ้ง,1066.51,17.0
140.0,27, 2560/2561,140.0,7.0,140.0,ผักชีฝรั่ง,1000.0,50.0
74.0,28, 2560/2561,86.0,9.5,74.0,ผักชี,1167.0,110.0
