เดือน,ไม่อันตราย (ตัน),อันตราย (ตัน),_id,ปี,ลำดับเดือน,ของเสียทั้งหมด (ตัน),จังหวัด,หน่วย
ม.ค.,0,0,1,2565,1,0,บึงกาฬ,ตัน
ก.พ.,0,0,2,2565,2,0,เชียงราย,ตัน
ก.พ.,0,0,3,2565,2,0,น่าน,ตัน
ก.พ.,0,0,4,2565,2,0,พังงา,ตัน
ก.พ.,0,0,5,2565,2,0,ยะลา,ตัน
มี.ค.,0,0,6,2565,3,0,นราธิวาส,ตัน
มี.ค.,0,0,7,2565,3,0,ปัตตานี,ตัน
มี.ค.,0,0,8,2565,3,0,พังงา,ตัน
มี.ค.,0,0,9,2565,3,0,ยะลา,ตัน
มี.ค.,0,0,10,2565,3,0,ระนอง,ตัน
เม.ย.,0,0,11,2565,4,0,บึงกาฬ,ตัน
พ.ค.,0,0,12,2565,5,0,น่าน,ตัน
มิ.ย.,0,0,13,2565,6,0,นราธิวาส,ตัน
มิ.ย.,0,0,14,2565,6,0,บึงกาฬ,ตัน
มิ.ย.,0,0,15,2565,6,0,พังงา,ตัน
มิ.ย.,0,0,16,2565,6,0,ระนอง,ตัน
ก.ค.,0,0,17,2565,7,0,น่าน,ตัน
ก.ค.,0,0,18,2565,7,0,บึงกาฬ,ตัน
ก.ค.,0,0,19,2565,7,0,ยะลา,ตัน
ก.ค.,0,0,20,2565,7,0,ระนอง,ตัน
ก.ค.,0,0,21,2565,7,0,ศรีสะเกษ,ตัน
ส.ค.,0,0,22,2565,8,0,ตราด,ตัน
ส.ค.,0,0,23,2565,8,0,นราธิวาส,ตัน
ส.ค.,0,0,24,2565,8,0,บึงกาฬ,ตัน
ส.ค.,0,0,25,2565,8,0,ปัตตานี,ตัน
ส.ค.,0,0,26,2565,8,0,ยโสธร,ตัน
ก.ย.,0,0,27,2565,9,0,บึงกาฬ,ตัน
ต.ค.,0,0,28,2565,10,0,ตราด,ตัน
ต.ค.,0,0,29,2565,10,0,พังงา,ตัน
ต.ค.,0,0,30,2565,10,0,หนองบัวลำภู,ตัน
พ.ย.,0,0,31,2565,11,0,ตราด,ตัน
พ.ย.,0,0,32,2565,11,0,บึงกาฬ,ตัน
พ.ย.,0,0,33,2565,11,0,ระนอง,ตัน
ธ.ค.,0,0,34,2565,12,0,ตราด,ตัน
ธ.ค.,0,0,35,2565,12,0,บึงกาฬ,ตัน
ธ.ค.,0,0,36,2565,12,0,ปัตตานี,ตัน
ธ.ค.,0,0,37,2565,12,0,ยะลา,ตัน
ธ.ค.,0,0,38,2565,12,0,ระนอง,ตัน
ม.ค.,0,0,39,2566,1,0,ตราด,ตัน
ม.ค.,0,0,40,2566,1,0,บึงกาฬ,ตัน
ก.พ.,0,0,41,2566,2,0,พังงา,ตัน
มี.ค.,0,0,42,2566,3,0,บึงกาฬ,ตัน
มี.ค.,0,0,43,2566,3,0,ระนอง,ตัน
เม.ย.,0,0,44,2566,4,0,บึงกาฬ,ตัน
พ.ค.,0,0,45,2566,5,0,ตราด,ตัน
พ.ค.,0,0,46,2566,5,0,นครพนม,ตัน
พ.ค.,0,0,47,2566,5,0,พังงา,ตัน
มิ.ย.,0,0,48,2566,6,0,ระนอง,ตัน
ธ.ค.,0,0,49,2564,12,0,นราธิวาส,ตัน
ธ.ค.,0,0,50,2564,12,0,บึงกาฬ,ตัน
ธ.ค.,0,0,51,2564,12,0,ยะลา,ตัน
พ.ย.,0,0,52,2564,11,0,กระบี่,ตัน
พ.ย.,0,0,53,2564,11,0,บึงกาฬ,ตัน
พ.ย.,0,0,54,2564,11,0,ระนอง,ตัน
ต.ค.,0,0,55,2564,10,0,บึงกาฬ,ตัน
ต.ค.,0,0,56,2564,10,0,ยะลา,ตัน
ต.ค.,0,0,57,2564,10,0,ระนอง,ตัน
ก.ย.,0,0,58,2564,9,0,บึงกาฬ,ตัน
ก.ย.,0,0,59,2564,9,0,ระนอง,ตัน
ส.ค.,0,0,60,2564,8,0,ตราด,ตัน
ส.ค.,0,0,61,2564,8,0,นราธิวาส,ตัน
ส.ค.,0,0,62,2564,8,0,น่าน,ตัน
ส.ค.,0,0,63,2564,8,0,บึงกาฬ,ตัน
ส.ค.,0,0,64,2564,8,0,แพร่,ตัน
ส.ค.,0,0,65,2564,8,0,แม่ฮ่องสอน,ตัน
ส.ค.,0,0,66,2564,8,0,ยะลา,ตัน
ส.ค.,0,0,67,2564,8,0,ระนอง,ตัน
ส.ค.,0,0,68,2564,8,0,หนองบัวลำภู,ตัน
ก.ค.,0,0,69,2564,7,0,กาฬสินธุ์,ตัน
ก.ค.,0,0,70,2564,7,0,เชียงราย,ตัน
ก.ค.,0,0,71,2564,7,0,ตราด,ตัน
ก.ค.,0,0,72,2564,7,0,นราธิวาส,ตัน
ก.ค.,0,0,73,2564,7,0,บึงกาฬ,ตัน
ก.ค.,0,0,74,2564,7,0,ปัตตานี,ตัน
ก.ค.,0,0,75,2564,7,0,พะเยา,ตัน
ก.ค.,0,0,76,2564,7,0,แม่ฮ่องสอน,ตัน
ก.ค.,0,0,77,2564,7,0,ยโสธร,ตัน
ก.ค.,0,0,78,2564,7,0,ระนอง,ตัน
ก.ค.,0,0,79,2564,7,0,อุทัยธานี,ตัน
มิ.ย.,0,0,80,2564,6,0,กระบี่,ตัน
มิ.ย.,0,0,81,2564,6,0,ตราด,ตัน
มิ.ย.,0,0,82,2564,6,0,บึงกาฬ,ตัน
มิ.ย.,0,0,83,2564,6,0,ระนอง,ตัน
มิ.ย.,0,0,84,2564,6,0,สกลนคร,ตัน
มิ.ย.,0,0,85,2564,6,0,อุทัยธานี,ตัน
พ.ค.,0,0,86,2564,5,0,น่าน,ตัน
พ.ค.,0,0,87,2564,5,0,บึงกาฬ,ตัน
พ.ค.,0,0,88,2564,5,0,พัทลุง,ตัน
พ.ค.,0,0,89,2564,5,0,ยโสธร,ตัน
พ.ค.,0,0,90,2564,5,0,ระนอง,ตัน
พ.ค.,0,0,91,2564,5,0,หนองบัวลำภู,ตัน
พ.ค.,0,0,92,2564,5,0,อุตรดิตถ์,ตัน
เม.ย.,0,0,93,2564,4,0,บึงกาฬ,ตัน
เม.ย.,0,0,94,2564,4,0,พังงา,ตัน
เม.ย.,0,0,95,2564,4,0,หนองคาย,ตัน
เม.ย.,0,0,96,2564,4,0,หนองบัวลำภู,ตัน
มี.ค.,0,0,97,2564,3,0,บึงกาฬ,ตัน
มี.ค.,0,0,98,2564,3,0,พังงา,ตัน
มี.ค.,0,0,99,2564,3,0,หนองบัวลำภู,ตัน
ก.พ.,0,0,100,2564,2,0,ระนอง,ตัน
ม.ค.,0,0,101,2564,1,0,ตราด,ตัน
ม.ค.,0,0,102,2564,1,0,บึงกาฬ,ตัน
ม.ค.,0,0,103,2564,1,0,พังงา,ตัน
ม.ค.,0,0,104,2564,1,0,ยโสธร,ตัน
ม.ค.,0,0,105,2564,1,0,ระนอง,ตัน
ม.ค.,0,0,106,2564,1,0,สกลนคร,ตัน
ม.ค.,0,52.43,107,2566,1,52.43,ชุมพร,ตัน
ม.ค.,0,11.75,108,2566,1,11.75,เชียงราย,ตัน
ม.ค.,0,1.86,109,2566,1,1.86,นครพนม,ตัน
ม.ค.,0,3.1,110,2566,1,3.1,นราธิวาส,ตัน
ม.ค.,0,1.79,111,2566,1,1.79,น่าน,ตัน
ม.ค.,0,2.8,112,2566,1,2.8,ปัตตานี,ตัน
ม.ค.,0,5.2,113,2566,1,5.2,พะเยา,ตัน
ม.ค.,0,9.09,114,2566,1,9.09,พังงา,ตัน
ม.ค.,0,0.7,115,2566,1,0.7,พัทลุง,ตัน
ม.ค.,0,10.08,116,2566,1,10.08,ภูเก็ต,ตัน
ม.ค.,0,8.43,117,2566,1,8.43,มุกดาหาร,ตัน
ม.ค.,0,1.08,118,2566,1,1.08,แม่ฮ่องสอน,ตัน
ม.ค.,0,0.78,119,2566,1,0.78,ยโสธร,ตัน
ม.ค.,0,3.4,120,2566,1,3.4,ยะลา,ตัน
ม.ค.,0,2.8,121,2566,1,2.8,ระนอง,ตัน
ม.ค.,0,7.05,122,2566,1,7.05,ศรีสะเกษ,ตัน
ม.ค.,0,8.7,123,2566,1,8.7,สกลนคร,ตัน
ม.ค.,0,23.41,124,2566,1,23.41,สุโขทัย,ตัน
ม.ค.,0,0.65,125,2566,1,0.65,อุตรดิตถ์,ตัน
ม.ค.,0,7.39,126,2566,1,7.39,อุทัยธานี,ตัน
ก.พ.,0,0.07,127,2566,2,0.07,ตราด,ตัน
ก.พ.,0,5.5,128,2566,2,5.5,นราธิวาส,ตัน
ก.พ.,0,1.71,129,2566,2,1.71,น่าน,ตัน
ก.พ.,0,17.04,130,2566,2,17.04,บึงกาฬ,ตัน
ก.พ.,0,17.08,131,2566,2,17.08,มุกดาหาร,ตัน
ก.พ.,0,1.28,132,2566,2,1.28,แม่ฮ่องสอน,ตัน
ก.พ.,0,4,133,2566,2,4,ยะลา,ตัน
ก.พ.,0,13.45,134,2566,2,13.45,ระนอง,ตัน
ก.พ.,0,60.39,135,2566,2,60.39,สกลนคร,ตัน
ก.พ.,0,16.72,136,2566,2,16.72,สุโขทัย,ตัน
ก.พ.,0,31.59,137,2566,2,31.59,หนองคาย,ตัน
ก.พ.,0,10.5,138,2566,2,10.5,อุตรดิตถ์,ตัน
มี.ค.,0,16.88,139,2566,3,16.88,มุกดาหาร,ตัน
มี.ค.,0,11.5,140,2566,3,11.5,เชียงราย,ตัน
มี.ค.,0,10.31,141,2566,3,10.31,พังงา,ตัน
มี.ค.,0,6.8,142,2566,3,6.8,ศรีสะเกษ,ตัน
มี.ค.,0,4.67,143,2566,3,4.67,ชุมพร,ตัน
มี.ค.,0,4.5,144,2566,3,4.5,นราธิวาส,ตัน
มี.ค.,0,3.41,145,2566,3,3.41,สตูล,ตัน
มี.ค.,0,2.6,146,2566,3,2.6,ปัตตานี,ตัน
มี.ค.,0,2.09,147,2566,3,2.09,น่าน,ตัน
มี.ค.,0,1.53,148,2566,3,1.53,อุตรดิตถ์,ตัน
มี.ค.,0,1.37,149,2566,3,1.37,ยโสธร,ตัน
มี.ค.,0,1.28,150,2566,3,1.28,แม่ฮ่องสอน,ตัน
มี.ค.,0,0.05,151,2566,3,0.05,หนองบัวลำภู,ตัน
เม.ย.,0,15.83,152,2566,4,15.83,เชียงราย,ตัน
เม.ย.,0,1.63,153,2566,4,1.63,ตราด,ตัน
