สถานภาพแรงงาน,_id,ปี,หญิง,ชาย,รวม
รวม,1,2562,"14,375","4,496","18,871"
ผู้มีงานทำ,2,2562,"10,703","4,112","14,815"
ผู้ว่างงาน,3,2562,515,385,900
ผู้ที่รอฤดูกาล,4,2562,,,
ผู้ไม่อยู่ในกำลังแรงงาน,5,2562,"3,175",,"3,157"
รวม,6,2563,"15,195","5,939","21,133"
ผู้มีงานทำ,7,2563,"8,848","3,782","12,629"
ผู้ว่างงาน,8,2563,,"1,245","1,245"
ผู้ที่รอฤดูกาล,9,2563,,,
ผู้ไม่อยู่ในกำลังแรงงาน,10,2563,"6,347",912,"7,259"
รวม,11,2564,"7,410","7,779","15,190"
ผู้มีงานทำ,12,2564,"5,717","4,641","10,358"
ผู้ว่างงาน,13,2564,379,"1,339","1,718"
ผู้ที่รอฤดูกาล,14,2564,,,
ผู้ไม่อยู่ในกำลังแรงงาน,15,2564,"1,314","1,800","3,113"
