FROAD,FID,DISPFACREG,FAMPNAME,FPROVNAME,ONAME,FMOO,_id,FNAME,OBJECT,STATUS,Last_update,LNG,FADDR,LAT,FSOI,FTUMNAME
NULL,20470002625599,จ3-34(2)-26/59สน,วานรนิวาส,สกลนคร,นายพิทักษณ์ ไชยโคตร,14,1,พิทักษณ์เฟอร์นิเจอร์,ทำวงกบ ขอบประตู ขอบหน้าต่าง บานหน้าต่าง บานประตู หรือส่วนประกอบที่ทำด้วยไม้ของอาคารและทำเครื่องเรือน เครื่องตบแต่งภายในอาคารจากไม้,ดำเนินกิจการ,2023-04-18T21:00:05,103.7326356136,98,17.6807164606746,NULL,วานรนิวาส
เลี่ยงเมืองอุดร-กาฬสินธุ์,20400005125594,จ3-58(1)-51/59ขก,เมืองขอนแก่น,ขอนแก่น,บริษัท เมืองเอก คอนกรีต จำกัด,1,2,บริษัท เมืองเอก คอนกรีต จำกัด,ผลิตคอนกรีตผสมเสร็จ,ดำเนินกิจการ,2023-04-18T21:00:05,102.876336,424,16.500736,NULL,ศิลา
พิมาย-ห้วยแถลง,10300100125352,3-11(6)-1/35นม,พิมาย,นครราชสีมา,บริษัท สยามซอร์บิทอล จำกัด,8,3,บริษัท สยามซอร์บิทอล จำกัด,"ผลิตสารละลายซอร์บิทอล ได้ปีละ 6,000 ตัน",ดำเนินกิจการ,2023-04-18T21:00:05,102.09635,45/7,14.98752,-,ในเมือง
ราชสีมา-โชคชัย,300700125341,ส3-52(4)-1/34นม,เมืองนครราชสีมา,นครราชสีมา,บริษัท อีตัน อินดัสทรีส์ (ประเทศไทย) จำกัด,3,4,บริษัท อีตัน อินดัสทรีส์ (ประเทศไทย) จำกัด,ผลิตด้ามจับไม้กอล์ฟ ที่เป็นยาง (GOLF GRIP),ดำเนินกิจการ,2023-04-18T21:00:05,102.16,156,14.91845,NULL,หนองบัวศาลา
สุรนารี,10300000225294,3-4(3)-2/29นม,เมืองนครราชสีมา,นครราชสีมา,ห้างหุ้นส่วนจำกัด สามไทย (วิภา) นครราชสีมา,-,5,ห้างหุ้นส่วนจำกัด สามไทย (วิภา) นครราชสีมา,ทำกุนเชียง แหนม หมูยอ หมูหยอง,ดำเนินกิจการ,2023-04-18T21:00:05,102.08889,"411,413,415",14.97609,-,ในเมือง
มิตรภาพ,10300100225251,3-34(2)-2/25นม,เมืองนครราชสีมา,นครราชสีมา,นางนภาลัย ธนกิจมานะชัย,NULL,6,ไทยเจริญการช่าง,ทำวงกบประตูหน้าต่าง บานประตู หน้าต่าง,ดำเนินกิจการ,2023-04-18T21:00:05,102.06461,899,14.97448,NULL,ในเมือง
ท้าวสุระ,10300000125171,3-4(3)-1/17นม,เมืองนครราชสีมา,นครราชสีมา,นายธนภัทร โมรินทร์,-,7,-,ทำหมูแผ่น หมูหยอง กุนเชียง และเนื้อสวรรค์,ดำเนินกิจการ,2023-04-18T21:00:05,102.10633,325,14.90887,-,โพธิ์กลาง
มิตรภาพ,10300000225310,3-77(1)-2/31นม,เมืองนครราชสีมา,นครราชสีมา,บริษัท มิตซู ณัฐดนัย จำกัด,NULL,8,บริษัท มิตซู ณัฐดนัย จำกัด,ต่อตัวถังรถยนต์ ซ่อมเครื่องยนต์ และเคาะพ่นสีรถยนต์,ดำเนินกิจการ,2023-04-18T21:00:05,102.04413,2986,14.95843,NULL,ในเมือง
มิตรภาพ,10300100125196,3-77(1)-1/19นม,เมืองนครราชสีมา,นครราชสีมา,บริษัท อู่เชิดชัยอุตสาหกรรม จำกัด,NULL,9,บริษัท อู่เชิดชัยอุตสาหกรรม จำกัด,ต่อตัวถังรถยนต์ ประกอบรถยนต์โดยสาร รถบรรทุก ผลิตแซ็สซีส์รถยนต์และติดตั้งเครื่องยนต์บนแซ็สซีส์,ดำเนินกิจการ,2023-04-18T21:00:05,102.06373,1069,14.96187,NULL,ในเมือง
ศรีเพชร,10300100525312,3-63(2)-5/31นม,เมืองนครราชสีมา,นครราชสีมา,นายฉัตรชัย เพรียบพร้อม,14,10,เทคนิคการช่าง,ทำประตูหน้าต่างเหล็ก มุ้งลวด และโครงอาคาร,ดำเนินกิจการ,2023-04-18T21:00:05,102.09953,253,14.99955,ราษฎรสามัคคี,หมื่นไวย
