เกษตรกร,_id,ปี,ช่วงการเกิดภัย,พืชไร่เสียหาย,ประเภทภัย,หมู่บ้าน,อำเภอ,ตำบล,ข้าวเสียหาย,พืชสวนเสียหาย,รวมเสียหาย
140,1,2562,3-พ.ค.-62,3,ภัยแล้ง,23,สวรรคโลก,7,0,474,477
128,2,2562,3-พ.ค.-62,117.25,ภัยแล้ง,16,ศรีนคร,3,0,227.25,344.5
11,3,2562,3-พ.ค.-62,0,ภัยแล้ง,1,ศรีสัชนาลัย,1,0,21.5,21.5
633,4,2562,20-ต.ค.-62,0,ภัยแล้ง,22,เมืองสุโขทัย,3,"10,156.50",0,"10,156.50"
"1,430",5,2562,20-ต.ค.-62,0,ภัยแล้ง,40,คีรีมาศ,7,"13,956.25",0,"13,956.25"
72,6,2562,20-ต.ค.-62,0,ภัยแล้ง,7,ศรีสัชนาลัย,3,732.5,0,732.5
168,7,2562,20-ต.ค.-62,0,ภัยแล้ง,9,ศรีสำโรง,2,"2,416.00",0,"2,416.00"
748,8,2563,10-เม.ย.-63,0,ภัยแล้ง,7,ศรีสัชนาลัย,1,0,"1,853.50","1,853.50"
0,9,2564,-,0,ไม่มีภัย,0,ไม่มีภัย,0,0,0,0
0,10,2565,-,0,ไม่มีภัย,0,ไม่มีภัย,0,0,0,0
0,11,2566,-,0,ไม่มีภัย,0,ไม่มีภัย,0,0,0,0
0,12,2567,-,0,ไม่มีภัย,0,ไม่มีภัย,0,0,0,0
