รายการสถิติทางการ,_id,ปี,หน่วยนับ,หญิง,ชาย,อาชีพ
รวม,1,2565,คน,"3,258","10,345","ผู้บัญญัติกฎหมาย
และผู้จัดการ"
รวม,2,2565,คน,"14,822","9,532","วิชาชีพ
ด้านต่าง ๆ"
รวม,3,2565,คน,"7,193","2,783","วิชาชีพ
ด้านเทคนิค"
รวม,4,2565,คน,"4,182","2,327",เสมียน
รวม,5,2565,คน,"52,207","23,977","พนักงาน
บริการ"
รวม,6,2565,คน,"167,293","195,702","ด้านการเกษตร
และประมง"
รวม,7,2565,คน,"4,777","24,909","ด้านความสามารถ
ทางฝีมือ"
รวม,8,2565,คน,"7,448","10,036","ผู้ปฏิบัติงาน
โรงงานเครื่องจักร"
รวม,9,2565,คน,"16,168","31,262","อาชีพพื้นฐาน
ต่าง ๆ"
รวม,10,2565,คน,0,0," คนงานซึ่งมิได้
จำแนกไว้ในหมวดอื่น "
แรงงานในระบบ,11,2565,คน,"2,447","8,486","ผู้บัญญัติกฎหมาย
และผู้จัดการ"
แรงงานในระบบ,12,2565,คน,"14,822","9,310","วิชาชีพ
ด้านต่าง ๆ"
แรงงานในระบบ,13,2565,คน,"6,709","1,781","วิชาชีพ
ด้านเทคนิค"
แรงงานในระบบ,14,2565,คน,"3,768","2,144",เสมียน
แรงงานในระบบ,15,2565,คน,"17,865","8,510","พนักงาน
บริการ"
แรงงานในระบบ,16,2565,คน,418,"1,422","ด้านการเกษตร
และประมง"
แรงงานในระบบ,17,2565,คน,"1,034","8,359","ด้านความสามารถ
ทางฝีมือ"
แรงงานในระบบ,18,2565,คน,"5,022","5,204","ผู้ปฏิบัติงาน
โรงงานเครื่องจักร"
แรงงานในระบบ,19,2565,คน,"6,072","10,866","อาชีพพื้นฐาน
ต่าง ๆ"
แรงงานในระบบ,20,2565,คน,0,0," คนงานซึ่งมิได้
จำแนกไว้ในหมวดอื่น "
แรงงานนอกระบบ,21,2565,คน,811,"1,859","ผู้บัญญัติกฎหมาย
และผู้จัดการ"
แรงงานนอกระบบ,22,2565,คน,0,222,"วิชาชีพ
ด้านต่าง ๆ"
แรงงานนอกระบบ,23,2565,คน,484,"1,002","วิชาชีพ
ด้านเทคนิค"
แรงงานนอกระบบ,24,2565,คน,414,182,เสมียน
แรงงานนอกระบบ,25,2565,คน,"34,341","15,468","พนักงาน
บริการ"
แรงงานนอกระบบ,26,2565,คน,"166,875","194,280","ด้านการเกษตร
และประมง"
แรงงานนอกระบบ,27,2565,คน,"3,743","16,550","ด้านความสามารถ
ทางฝีมือ"
แรงงานนอกระบบ,28,2565,คน,"2,426","4,832","ผู้ปฏิบัติงาน
โรงงานเครื่องจักร"
แรงงานนอกระบบ,29,2565,คน,"10,096","20,396","อาชีพพื้นฐาน
ต่าง ๆ"
แรงงานนอกระบบ,30,2565,คน,0,0," คนงานซึ่งมิได้
จำแนกไว้ในหมวดอื่น "
