ค่าข้อมูล,ที่มา,_id,ปี,กลุ่มอุตสาหกรรม,รายการ,จังหวัด,หน่วย
25,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,1,2566,ผลิตภัณฑ์จากพืช,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
40,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,2,2566,อุตสาหกรรมอาหาร,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,3,2566,อุตสาหกรรมเครื่องดื่ม,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
7,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,4,2566,สิ่งทอ,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,5,2566,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
21,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,6,2566,แปรรูปไม้และผลิตภัณฑ์จากไม้,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,7,2566,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,8,2566,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,9,2566,เคมีภัณฑ์และผลิตภัณฑ์เคมี,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
11,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,10,2566,ผลิตภัณฑ์จากปิโตรเลียม,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
7,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,11,2566,ผลิตภัณฑ์พลาสติก,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
61,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,12,2566,ผลิตภัณฑ์อโลหะ,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
2,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,13,2566,ผลิตโลหะขั้นมูลฐาน,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
7,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,14,2566,ผลิตภัณฑ์โลหะ,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,15,2566,ผลิตเครื่องจักรและเครื่องกล,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
3,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,16,2566,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
24,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,17,2566,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
25,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,18,2566,การผลิตอื่นๆ,จำนวนโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,แห่ง
