_id,ปี,อำเภอ,หน่วยนับ,เกษตรอินทรีย์
1,2562,เมืองนครสวรรค์,คน,34
2,2562,เก้าเลี้ยว,คน,0
3,2562,โกรกพระ,คน,0
4,2562,แม่เปิน,คน,25
5,2562,แม่วงก์,คน,0
6,2562,ไพศาลี,คน,0
7,2562,ชุมแสง,คน,140
8,2562,ชุมตาบง,คน,25
9,2562,ตากฟ้า,คน,44
10,2562,ตาคลี,คน,0
11,2562,ท่าตะโก,คน,0
12,2562,บรรพตพิสัย,คน,0
13,2562,พยุหะคีรี,คน,0
14,2562,ลาดยาว,คน,32
15,2562,หนองบัว,คน,0
16,2563,เมืองนครสวรรค์,คน,50
17,2563,เก้าเลี้ยว,คน,50
18,2563,โกรกพระ,คน,50
19,2563,แม่เปิน,คน,50
20,2563,แม่วงก์,คน,50
21,2563,ไพศาลี,คน,50
22,2563,ชุมแสง,คน,50
23,2563,ชุมตาบง,คน,50
24,2563,ตากฟ้า,คน,50
25,2563,ตาคลี,คน,50
26,2563,ท่าตะโก,คน,50
27,2563,บรรพตพิสัย,คน,50
28,2563,พยุหะคีรี,คน,50
29,2563,ลาดยาว,คน,50
30,2563,หนองบัว,คน,50
31,2564,เมืองนครสวรรค์,คน,50
32,2564,เก้าเลี้ยว,คน,50
33,2564,โกรกพระ,คน,50
34,2564,แม่เปิน,คน,50
35,2564,แม่วงก์,คน,50
36,2564,ไพศาลี,คน,50
37,2564,ชุมแสง,คน,50
38,2564,ชุมตาบง,คน,50
39,2564,ตากฟ้า,คน,50
40,2564,ตาคลี,คน,50
41,2564,ท่าตะโก,คน,50
42,2564,บรรพตพิสัย,คน,50
43,2564,พยุหะคีรี,คน,50
44,2564,ลาดยาว,คน,50
45,2564,หนองบัว,คน,50
46,2566,เมืองนครสวรรค์,คน,0
47,2566,เก้าเลี้ยว,คน,0
48,2566,โกรกพระ,คน,20
49,2566,แม่เปิน,คน,0
50,2566,แม่วงก์,คน,0
51,2566,ไพศาลี,คน,0
52,2566,ชุมแสง,คน,0
53,2566,ชุมตาบง,คน,0
54,2566,ตากฟ้า,คน,0
55,2566,ตาคลี,คน,15
56,2566,ท่าตะโก,คน,0
57,2566,บรรพตพิสัย,คน,0
58,2566,พยุหะคีรี,คน,0
59,2566,ลาดยาว,คน,0
60,2566,หนองบัว,คน,0
61,2567,เมืองนครสวรรค์,คน,0
62,2567,เก้าเลี้ยว,คน,0
63,2567,โกรกพระ,คน,20
64,2567,แม่เปิน,คน,0
65,2567,แม่วงก์,คน,0
66,2567,ไพศาลี,คน,0
67,2567,ชุมแสง,คน,0
68,2567,ชุมตาบง,คน,0
69,2567,ตากฟ้า,คน,0
70,2567,ตาคลี,คน,15
71,2567,ท่าตะโก,คน,0
72,2567,บรรพตพิสัย,คน,50
73,2567,พยุหะคีรี,คน,0
74,2567,ลาดยาว,คน,40
75,2567,หนองบัว,คน,0
