ค่าข้อมูล,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
0,1,2564,เมืองร้อยเอ็ด,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"6,080.53",2,2564,เกษตรวิสัย,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,3,2564,ปทุมรัตต์,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"10,025.00",4,2564,จตุรพักตรพิมาน,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,5,2564,ธวัชบุรี,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"7,000.00",6,2564,พนมไพร,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"10,020.79",7,2564,โพนทอง,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,8,2564,โพธิ์ชัย,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"10,000.00",9,2564,หนองพอก,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,10,2564,เสลภูมิ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,11,2564,สุวรรณภูมิ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,12,2564,เมืองสรวง,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,13,2564,โพนทราย,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,14,2564,อาจสามารถ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"13,000.00",15,2564,เมยวดี,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,16,2564,ศรีสมเด็จ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,17,2564,จังหาร,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,18,2564,เชียงขวัญ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,19,2564,หนองฮี,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,20,2564,ทุ่งเขาหลวง,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,21,2565,เมืองร้อยเอ็ด,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"7,000.00",22,2565,เกษตรวิสัย,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,23,2565,ปทุมรัตต์,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"7,000.00",24,2565,จตุรพักตรพิมาน,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,25,2565,ธวัชบุรี,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,26,2565,พนมไพร,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"9,916.26",27,2565,โพนทอง,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"10,000.00",28,2565,โพธิ์ชัย,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"10,000.00",29,2565,หนองพอก,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,30,2565,เสลภูมิ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,31,2565,สุวรรณภูมิ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,32,2565,เมืองสรวง,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,33,2565,โพนทราย,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,34,2565,อาจสามารถ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"11,802.26",35,2565,เมยวดี,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,36,2565,ศรีสมเด็จ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,37,2565,จังหาร,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,38,2565,เชียงขวัญ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,39,2565,หนองฮี,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,40,2565,ทุ่งเขาหลวง,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,41,2566,เมืองร้อยเอ็ด,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"9,810.00",42,2566,เกษตรวิสัย,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,43,2566,ปทุมรัตต์,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"9,333.00",44,2566,จตุรพักตรพิมาน,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"9,462.69",45,2566,ธวัชบุรี,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,46,2566,พนมไพร,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"5,589.88",47,2566,โพนทอง,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"10,000.00",48,2566,โพธิ์ชัย,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
"10,000.00",49,2566,หนองพอก,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,50,2566,เสลภูมิ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
0,51,2566,สุวรรณภูมิ,ผลผลิตอ้อยโรงงานเฉลี่ยต่อไร่,ร้อยเอ็ด,กิโลกรัม
