ที่มา,_id,ปี,หญิง,ชาย,รวม,รายการ,จังหวัด,หน่วย
สำนักงานสถิติจังหวัดบุรีรัมย์,1,2565," 5,447 "," 9,417 "," 14,864 ",จำนวนผู้ว่างงาน,บุรีรัมย์,คน
สำนักงานสถิติจังหวัดบุรีรัมย์,2,2566," 4,907 "," 2,607 "," 7,514 ",จำนวนผู้ว่างงาน,บุรีรัมย์,คน
สำนักงานสถิติจังหวัดบุรีรัมย์,3,2567," 4,156 "," 3,510 "," 7,669 ",จำนวนผู้ว่างงาน,บุรีรัมย์,คน
สำนักงานสถิติจังหวัดบุรีรัมย์,4,2568," 4,099 "," 3,438 "," 7,537 ",จำนวนผู้ว่างงาน,บุรีรัมย์,คน
