_id,ปี,หน่วย,มูลค่าผลผลิต,จังหวัด
1,2563,บาท,"337,186,183",ลำปาง
2,2564,บาท,"231,094,556",ลำปาง
3,2565,บาท,"306,076,784",ลำปาง
4,2566,บาท," 336,625,500 ",ลำปาง
5,2567,บาท," 469,604,520 ",ลำปาง
6,2568,บาท," 387,993,000 ",ลำปาง
