ประเภท,ที่มา,_id,ปี,ลำดับ,ผู้ประกันตน,หน่วย
ถูกเลิกจ้าง,สำนักงานประกันสังคมจังหวัดลพบุรี,1,2565,1," 1,551 ",ราย
สมัครใจลาออก,สำนักงานประกันสังคมจังหวัดลพบุรี,2,2565,2," 19,398 ",ราย
สิ้นสุดสัญญาจ้าง,สำนักงานประกันสังคมจังหวัดลพบุรี,3,2565,3," 1,507 ",ราย
ถูกเลิกจ้าง,สำนักงานประกันสังคมจังหวัดลพบุรี,4,2566,4," 2,031 ",ราย
สมัครใจลาออก,สำนักงานประกันสังคมจังหวัดลพบุรี,5,2566,5," 18,690 ",ราย
สิ้นสุดสัญญาจ้าง,สำนักงานประกันสังคมจังหวัดลพบุรี,6,2566,6," 1,428 ",ราย
ถูกเลิกจ้าง,สำนักงานประกันสังคมจังหวัดลพบุรี,7,2567,7," 2,183 ",ราย
สมัครใจลาออก,สำนักงานประกันสังคมจังหวัดลพบุรี,8,2567,8," 14,905 ",ราย
สิ้นสุดสัญญาจ้าง,สำนักงานประกันสังคมจังหวัดลพบุรี,9,2567,9, 883 ,ราย
ถูกเลิกจ้าง,สำนักงานประกันสังคมจังหวัดลพบุรี,10,2568,10," 2,688 ",ราย
สมัครใจลาออก,สำนักงานประกันสังคมจังหวัดลพบุรี,11,2568,11," 13,043 ",ราย
สิ้นสุดสัญญาจ้าง,สำนักงานประกันสังคมจังหวัดลพบุรี,12,2568,12," 1,309 ",ราย
