184174.0,41211.0,300.0,696.0,5353.0,779.0,30609.0,_id,ยอดรวม,676.0,41.0,272120.0,414.0,1166.0,874.0,4405.0,53.0,46009.0
184174,41211,300,696,5353,779,30609,1,นครสวรรค์,676,41,272120,414,1166,874,4405,53,46009
14230,3787,2,16,0,8,808,2,เมืองนครสวรรค์,12,0,15322,8,13,0,0,0,268
677,1458,15,14,24,47,467,3,โกรกพระ,18,0,1864,45,55,0,28,5,654
1616,3361,22,50,24,95,382,4,ชุมแสง,71,0,2652,6,118,0,35,7,545
7961,4929,47,44,4,86,1075,5,หนองบัว,93,9,9825,96,154,144,52,10,545
37712,3275,12,67,0,64,12868,6,บรรพตพิสัย,50,1,53508,4,88,10,0,0,2851
3575,850,6,5,25,32,57,7,เก้าเลี้ยว,11,7,3828,4,46,37,20,5,109
26848,2550,5,323,4980,11,3220,8,ตาคลี,10,6,66785,9,25,244,3900,3,27270
34982,3689,37,24,27,149,426,9,ท่าตะโก,79,2,35945,79,204,50,29,10,407
6134,4039,18,14,0,25,390,10,ไพศาลี,35,0,6646,31,55,0,3,1,105
28331,3146,13,51,1,14,3226,11,พยุหะคีรี,34,5,33292,2,44,49,9,2,1625
3365,3658,53,8,2,62,1878,12,ลาดยาว,93,2,15520,13,105,60,0,1,10207
15258,2097,8,66,255,7,4774,13,ตากฟ้า,12,7,21242,1,27,272,255,1,362
2621,2626,36,12,10,116,650,14,แม่วงก์,110,2,3894,32,157,8,73,7,520
387,751,17,0,0,30,236,15,แม่เปิน,28,0,757,0,36,0,0,0,134
477,995,9,2,1,33,152,16,ชุมตาบง,20,0,1040,84,39,0,1,1,407
