จำนวน,_id,ปี,ประเภทรถ,จังหวัด
208613,1,2568,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ระยอง
5522,2,2568,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,ระยอง
108342,3,2568,รถยนต์บรรทุกส่วนบุคคล,ระยอง
11,4,2568,รถยนต์สามล้อส่วนบุคคล,ระยอง
0,5,2568,รถยนต์รับจ้างระหว่างจังหวัด,ระยอง
2,6,2568,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,ระยอง
0,7,2568,รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),ระยอง
0,8,2568,รถยนต์รับจ้างสามล้อ,ระยอง
2,9,2568,รถยนต์บริการธุรกิจ,ระยอง
1,10,2568,รถยนต์บริการทัศนาจร,ระยอง
0,11,2568,รถยนต์บริการให้เช่า,ระยอง
446126,12,2568,รถจักรยานยนต์,ระยอง
3478,13,2568,รถแทกเตอร์,ระยอง
160,14,2568,รถบดถนน,ระยอง
2,15,2568,รถใช้งานเกษตรกรรม,ระยอง
28,16,2568,รถพ่วง,ระยอง
548,17,2568,รถจักรยานยนต์สาธารณะ,ระยอง
23,18,2568,รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,ระยอง
202996,19,2567,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,ระยอง
5311,20,2567,รถยนต์นั่งส่วนบุคคลเกิน 7 คน,ระยอง
109943,21,2567,รถยนต์บรรทุกส่วนบุคคล,ระยอง
9,22,2567,รถยนต์สามล้อส่วนบุคคล,ระยอง
0,23,2567,รถยนต์รับจ้างระหว่างจังหวัด,ระยอง
4,24,2567,รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คน,ระยอง
0,25,2567,รถยนต์สี่ล้อเล็กรับจ้าง (โดยสารไม่เกิน 7 คน),ระยอง
0,26,2567,รถยนต์รับจ้างสามล้อ,ระยอง
2,27,2567,รถยนต์บริการธุรกิจ,ระยอง
1,28,2567,รถยนต์บริการทัศนาจร,ระยอง
0,29,2567,รถยนต์บริการให้เช่า,ระยอง
426418,30,2567,รถจักรยานยนต์,ระยอง
