จำนวนผู้เข้า,_id,จำนวนผู้ผ่าน,จังหวัด,จำนวนเป้าหมาย
18789,1,18632,อุดรธานี,50592
65865,2,65677,สระบุรี,50456
40677,3,40696,ชัยภูมิ,46161
35186,4,35201,น่าน,35196
32317,5,32317,กาญจนบุรี,32237
31920,6,31752,ปราจีนบุรี,30972
33245,7,33430,สุพรรณบุรี,28379
18145,8,18091,นครราชสีมา,27495
15350,9,14354,กาฬสินธุ์,22690
29921,10,29511,นครปฐม,21612
20014,11,19923,ฉะเชิงเทรา,21223
23504,12,23354,ร้อยเอ็ด,18520
18161,13,18122,แม่ฮ่องสอน,18484
20992,14,20881,สกลนคร,16994
14043,15,14043,ลพบุรี,16685
14423,16,14423,อ่างทอง,16560
15806,17,15806,ระยอง,15806
12951,18,12862,ศรีสะเกษ,13653
13462,19,13180,แพร่,13477
12440,20,12210,นครสวรรค์,12552
11480,21,11476,เชียงใหม่,11782
8485,22,8485,พิษณุโลก,11297
9821,23,9821,จันทบุรี,11201
6842,24,7308,หนองบัวลำภู,10992
10824,25,10824,กำแพงเพชร,10047
7816,26,7595,สิงห์บุรี,9748
18833,27,19084,พิจิตร,9659
6184,28,5864,สุราษฎร์ธานี,9123
4953,29,4953,สมุทรสาคร,9068
8207,30,8196,ลำปาง,8894
12836,31,12836,เพชรบุรี,8670
8397,32,8397,หนองคาย,8397
6242,33,5739,ปทุมธานี,7866
7811,34,7811,สุโขทัย,7811
6311,35,6311,อุบลราชธานี,7489
5358,36,5308,ลำพูน,6805
6724,37,6724,สระแก้ว,6736
10575,38,10575,เชียงราย,6735
5356,39,5358,ชลบุรี,6527
6700,40,6700,ยโสธร,6506
6420,41,6411,ตรัง,6435
6355,42,8081,ปัตตานี,6092
6531,43,6527,พัทลุง,6020
5987,44,5891,มุกดาหาร,5961
5905,45,5896,เลย,5888
5497,46,5497,ชุมพร,5532
7838,47,7827,มหาสารคาม,5488
4910,48,4910,สงขลา,5322
3238,49,3238,พะเยา,5099
4559,50,4420,อุทัยธานี,4685
4649,51,4599,บุรีรัมย์,4529
4511,52,4904,พังงา,4456
3799,53,3791,ราชบุรี,4377
4330,54,4330,นราธิวาส,4323
4413,55,4022,สตูล,4228
150,56,4351,เพชรบูรณ์,4123
4025,57,4033,ระนอง,3880
4543,58,4543,นครพนม,3835
3856,59,3856,ชัยนาท,3813
3783,60,3670,อำนาจเจริญ,3781
1972,61,1972,ภูเก็ต,3547
3518,62,3518,พระนครศรีอยุธยา,3518
3490,63,3490,ประจวบคีรีขันธ์,3406
4356,64,4356,นนทบุรี,3276
2880,65,2865,บึงกาฬ,2867
2635,66,2635,นครนายก,2589
6659,67,6479,ตาก,2200
2258,68,2157,สุรินทร์,2183
2025,69,1555,อุตรดิตถ์,1981
1496,70,1494,สมุทรสงคราม,1448
527,71,515,สมุทรปราการ,1295
963,72,963,กระบี่,1193
1404,73,1404,นครศรีธรรมราช,1167
250,74,250,ตราด,410
312,75,312,ยะลา,312
