โรงงาน,_id,ตำบล,ที่ตั้ง,อำเภอ,จังหวัด
โรงงานเกษตรไทยอินเตอร์เนชั่นแนล ซูการ์ คอร์ปอเรชั่น จํากัด (มหาชน),1,หนองโพ,1/1 หมู่ที่ 14,ตาคลี,นครสวรรค์
โรงงานเกษตรไทยอินเตอร์เนชั่นแนล ซูการ์ คอร์ปอเรชั่น จํากัด (มหาชน) (รวมผล),2,บ้านมะเกลือ,เลขที่ 1 หมู่ที่ 7,เมืองนครสวรรค์,นครสวรรค์
