ที่มา,_id,ปี,หญิง,ชาย,รวม,รายการ,จังหวัด,หน่วย
สำนักงานสถิติจังหวัดบุรีรัมย์,1,2565,"216,066","273,714","489,781",จำนวนแรงงานนอกระบบ,บุรีรัมย์,คน
สำนักงานสถิติจังหวัดบุรีรัมย์,2,2566,"217,879","277,630","495,509",จำนวนแรงงานนอกระบบ,บุรีรัมย์,คน
สำนักงานสถิติจังหวัดบุรีรัมย์,3,2567,"223,994","277,565","501,559",จำนวนแรงงานนอกระบบ,บุรีรัมย์,คน
สำนักงานสถิติจังหวัดบุรีรัมย์,4,2568,"220,916","270,528","491,444",จำนวนแรงงานนอกระบบ,บุรีรัมย์,คน
