จำนวน,ที่มา,_id,ปี,หน่วยนับ,จังหวัด
1,สำนักงานอุตสาหกรรมจังหวัดพิจิตร,1,2562,โรงงาน,พิจิตร
1,สำนักงานอุตสาหกรรมจังหวัดพิจิตร,2,2563,โรงงาน,พิจิตร
1,สำนักงานอุตสาหกรรมจังหวัดพิจิตร,3,2564,โรงงาน,พิจิตร
1,สำนักงานอุตสาหกรรมจังหวัดพิจิตร,4,2465,โรงงาน,พิจิตร
1,สำนักงานอุตสาหกรรมจังหวัดพิจิตร,5,2566,โรงงาน,พิจิตร
1,สำนักงานอุตสาหกรรมจังหวัดพิจิตร,6,2567,โรงงาน,พิจิตร
1,สำนักงานอุตสาหกรรมจังหวัดพิจิตร,7,2568,โรงงาน,พิจิตร
