ปี 2563,_id,ปี 2564,รายการข้อมูล,ปี 2567,ปี 2562
4,1,4,บางกระทุ่ม,4,4
1,2,1,บางระกำ,0,1
5,3,5,พรหมพิราม,4,5
11,4,11,เมืองฯ,15,11
3,5,3,วังทอง,3,3
1,6,1,วัดโบสถ์,2,1
