ค่าของข้อมูล,ที่มา,_id,ปี,รายการ,ประเภทรถ,จังหวัด,หน่วย
411,สำนักงานขนส่งจังหวัดชุมพร,1,2561,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารประจำทาง,ชุมพร,คัน
175,สำนักงานขนส่งจังหวัดชุมพร,2,2561,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารไม่ประจำทาง,ชุมพร,คัน
22,สำนักงานขนส่งจังหวัดชุมพร,3,2561,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารส่วนบุคคล,ชุมพร,คัน
"1,787",สำนักงานขนส่งจังหวัดชุมพร,4,2561,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถบรรทุกไม่ประจำทาง,ชุมพร,คัน
"5,195",สำนักงานขนส่งจังหวัดชุมพร,5,2561,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถบรรทุกส่วนบุคคล,ชุมพร,คัน
0,สำนักงานขนส่งจังหวัดชุมพร,6,2561,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถขนาดเล็ก,ชุมพร,คัน
413,สำนักงานขนส่งจังหวัดชุมพร,7,2562,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารประจำทาง,ชุมพร,คัน
179,สำนักงานขนส่งจังหวัดชุมพร,8,2562,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารไม่ประจำทาง,ชุมพร,คัน
23,สำนักงานขนส่งจังหวัดชุมพร,9,2562,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถโดยสารส่วนบุคคล,ชุมพร,คัน
"2,100",สำนักงานขนส่งจังหวัดชุมพร,10,2562,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถบรรทุกไม่ประจำทาง,ชุมพร,คัน
"5,216",สำนักงานขนส่งจังหวัดชุมพร,11,2562,จำนวนรถจดทะเบียน(สะสม)ตามพระราชบัญญัติการขนส่งทางบก,รถบรรทุกส่วนบุคคล,ชุมพร,คัน
