_id,ปี,ไร่,อำเภอ,รายการ
1,2561,"5,818",เมืองแม่ฮ่องสอน,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
2,2561,"1,750",ขุนยวม,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
3,2561,"8,230",ปาย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
4,2561,"2,054",แม่สะเรียง,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
5,2561,"2,286",แม่ลาน้อย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
6,2561,"2,063",ปางมะผ้า,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
7,2561,943,สบเมย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
8,2562,"4,516",เมืองแม่ฮ่องสอน,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
9,2562,"1,355",ขุนยวม,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
10,2562,"7,736",ปาย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
11,2562,584,แม่สะเรียง,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
12,2562,"1,690",แม่ลาน้อย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
13,2562,"2,257",ปางมะผ้า,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
14,2562,845,สบเมย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
15,2563,"4,290",เมืองแม่ฮ่องสอน,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
16,2563,"1,719",ขุนยวม,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
17,2563,"6,811",ปาย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
18,2563,"1,095",แม่สะเรียง,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
19,2563,"1,970",แม่ลาน้อย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
20,2563,"2,827",ปางมะผ้า,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
21,2563,470,สบเมย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
22,2564,"4,830",เมืองแม่ฮ่องสอน,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
23,2564,"1,844",ขุนยวม,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
24,2564,"6,923",ปาย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
25,2564,650,แม่สะเรียง,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
26,2564,"1,610",แม่ลาน้อย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
27,2564,"2,833",ปางมะผ้า,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
28,2564,400,สบเมย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
29,2565,"3,910",เมืองแม่ฮ่องสอน,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
30,2565,"1,080",ขุนยวม,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
31,2565,"6,923",ปาย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
32,2565,"1,090",แม่สะเรียง,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
33,2565,"1,163",แม่ลาน้อย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
34,2565,"1,701",ปางมะผ้า,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
35,2565,385,สบเมย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
36,2566,"3,718",เมืองแม่ฮ่องสอน,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
37,2566,921,ขุนยวม,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
38,2566,"7,307",ปาย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
39,2566,"1,479",แม่สะเรียง,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
40,2566,878,แม่ลาน้อย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
41,2566,629,ปางมะผ้า,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
42,2566,215,สบเมย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
43,2567,"3,495",เมืองแม่ฮ่องสอน,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
44,2567,"1,050",ขุนยวม,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
45,2567,"7,307",ปาย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
46,2567,300,แม่สะเรียง,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
47,2567,550,แม่ลาน้อย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
48,2567,"1,193",ปางมะผ้า,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
49,2567,410,สบเมย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
50,2568,2560,เมืองแม่ฮ่องสอน,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
51,2568,890,ขุนยวม,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
52,2568,4417,ปาย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
53,2568,668,แม่สะเรียง,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
54,2568,850,แม่ลาน้อย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
55,2568,2043,ปางมะผ้า,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
56,2568,511,สบเมย,เนื้อที่เพาะปลูกกระเที่ยม (ไร่)
