ที่มา,ประเภทข้าว,_id,ปี,เก็บเกี่ยว,เพาะปลูก,อำเภอ,หน่วย
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,51,2564,0,0,เมืองสมุทรปราการ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,52,2564,"13,285","13,298",บางบ่อ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,53,2564,0,0,บางพลี,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,54,2564,0,0,พระประแดง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,55,2564,0,0,พระสมุทรเจดีย์,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,56,2564,"2,540","2,560",บางเสาธง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,57,2564,0,0,รวม,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,58,2564,0,0,เมืองสมุทรปราการ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,59,2564,0,0,บางบ่อ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,60,2564,0,0,บางพลี,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,61,2564,0,0,พระประแดง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,62,2564,0,0,พระสมุทรเจดีย์,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเหนียว,63,2564,0,0,บางเสาธง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,64,2565,"16,899","16,899",รวม,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,65,2565,0,0,เมืองสมุทรปราการ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,66,2565,"12,930","12,930",บางบ่อ,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,67,2565,0,0,บางพลี,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,68,2565,0,0,พระประแดง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,69,2565,0,0,พระสมุทรเจดีย์,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวนาปรัง,70,2565,"3,969","3,969",บางเสาธง,ไร่
สำนักงานเกษตรจังหวัดสมุทรปราการ,ข้าวเจ้า,71,2565,"16,899","16,899",รวม,ไร่
