_id,ปี,ข้อมูล,หน่วยวัด,ประเภท,รายการ
1,2563, 63 ,ตัน,ข้าวเจ้า,ปริมาณผลผลิตพืชเศรษฐกิจ
2,2563," 61,590 ",ตัน,ข้าวเหนียว,ปริมาณผลผลิตพืชเศรษฐกิจ
3,2563," 490,099 ",ตัน,มันสำปะหลัง,ปริมาณผลผลิตพืชเศรษฐกิจ
4,2563," 333,215 ",ตัน,อ้อยโรงงาน,ปริมาณผลผลิตพืชเศรษฐกิจ
5,2563," 18,856 ",ตัน,ยางพารา,ปริมาณผลผลิตพืชเศรษฐกิจ
6,2563," 8,255 ",ตัน,ปาล์มน้ำมัน,ปริมาณผลผลิตพืชเศรษฐกิจ
7,2564," 312,539 ",ตัน,ข้าวเจ้า,ปริมาณผลผลิตพืชเศรษฐกิจ
8,2564," 61,917 ",ตัน, ข้าวเหนียว,ปริมาณผลผลิตพืชเศรษฐกิจ
9,2564," 432,265 ",ตัน, มันสำปะหลัง,ปริมาณผลผลิตพืชเศรษฐกิจ
10,2564," 333,217 ",ตัน,อ้อยโรงงาน,ปริมาณผลผลิตพืชเศรษฐกิจ
11,2564," 173,338 ",ตัน,ยางพารา,ปริมาณผลผลิตพืชเศรษฐกิจ
12,2564," 8,255 ",ตัน,ปาล์มน้ำมัน,ปริมาณผลผลิตพืชเศรษฐกิจ
13,2565," 339,161 ",ตัน,ข้าวเจ้า,ปริมาณผลผลิตพืชเศรษฐกิจ
14,2565," 53,671 ",ตัน,ข้าวเหนียว,ปริมาณผลผลิตพืชเศรษฐกิจ
15,2565," 526,275 ",ตัน,มันสำปะหลัง,ปริมาณผลผลิตพืชเศรษฐกิจ
16,2565," 352,824 ",ตัน,อ้อยโรงงาน,ปริมาณผลผลิตพืชเศรษฐกิจ
17,2565," 17,940 ",ตัน,ยางพารา,ปริมาณผลผลิตพืชเศรษฐกิจ
18,2565," 8,653 ",ตัน,ปาล์มน้ำมัน,ปริมาณผลผลิตพืชเศรษฐกิจ
19,2566," 331,082 ",ตัน,ข้าวเจ้า,ปริมาณผลผลิตพืชเศรษฐกิจ
20,2566," 43,693 ",ตัน,ข้าวเหนียว,ปริมาณผลผลิตพืชเศรษฐกิจ
21,2566," 337,948 ",ตัน,มันสำปะหลัง,ปริมาณผลผลิตพืชเศรษฐกิจ
22,2566," 197,626 ",ตัน,อ้อยโรงงาน,ปริมาณผลผลิตพืชเศรษฐกิจ
23,2566," 17,866 ",ตัน,ยางพารา,ปริมาณผลผลิตพืชเศรษฐกิจ
24,2566," 6,672 ",ตัน,ปาล์มน้ำมัน,ปริมาณผลผลิตพืชเศรษฐกิจ
25,2567," 340,121 ",ตัน,ข้าวเจ้า,ปริมาณผลผลิตพืชเศรษฐกิจ
26,2567," 48,259 ",ตัน, ข้าวเหนียว,ปริมาณผลผลิตพืชเศรษฐกิจ
27,2567," 449,391 ",ตัน,มันสำปะหลัง,ปริมาณผลผลิตพืชเศรษฐกิจ
28,2567," 197,626 ",ตัน,อ้อยโรงงาน,ปริมาณผลผลิตพืชเศรษฐกิจ
29,2567," 20,218 ",ตัน,ยางพารา,ปริมาณผลผลิตพืชเศรษฐกิจ
30,2567," 7,961 ",ตัน,ปาล์มน้ำมัน,ปริมาณผลผลิตพืชเศรษฐกิจ
31,2568," 356,590 ",ตัน,ข้าวเจ้า,ปริมาณผลผลิตพืชเศรษฐกิจ
32,2568," 44,966 ",ตัน,ข้าวเหนียว,ปริมาณผลผลิตพืชเศรษฐกิจ
33,2568," 484,165 ",ตัน,มันสำปะหลัง,ปริมาณผลผลิตพืชเศรษฐกิจ
34,2568," 227,467 ",ตัน,อ้อยโรงงาน,ปริมาณผลผลิตพืชเศรษฐกิจ
35,2568," 20,966 ",ตัน,ยางพารา,ปริมาณผลผลิตพืชเศรษฐกิจ
36,2568," 10,270 ",ตัน,ปาล์มน้ำมัน,ปริมาณผลผลิตพืชเศรษฐกิจ
