จำนวน,_id,ปี,หน่วยนับ,จังหวัด
53,1,2564,ครัวเรือน,นครสวรรค์
282,2,2565,ครัวเรือน,นครสวรรค์
0,3,2566,ครัวเรือน,นครสวรรค์
0,4,2567,ครัวเรือน,นครสวรรค์
