สถานภาพแรงงาน,_id,ปี,หญิง,ชาย,รวม
กำลังแรงงานรวม,1,2563,"6,637","9,170","15,807"
ผู้มีงานทำ,2,2563,"4,671","6,763","11,434"
ผู้ว่างงาน,3,2563,111,173,284
กำลังแรงงานที่รอฤดูกาล,4,2563, -   , -   , -   
ผู้ไม่อยู่ในกำลังแรงงาน,5,2563,"1,855","2,234","4,089"
ไม่มีการศึกษา,6,2563,605,721,"1,326"
ต่ำกว่าประถมศึกษา,7,2563,531,"1,065","1,596"
ประถมศึกษา,8,2563,"2,838","2,840","5,678"
มัธยมศึกษา,9,2563,"1,383","2,822","4,205"
อุดมศึกษา,10,2563,"1,280","1,722","3,002"
อื่นๆ และไม่ทราบ,11,2563, -   , -   , -   
15-24,12,2563,500,"1,179","1,679"
25-34,13,2563,"1,352","3,006","4,358"
35-44,14,2563,"2,783","2,023","4,806"
45-54,15,2563,"1,617","2,408","4,025"
55-59,16,2563,83,0,83
60 ปีขึ้นไป,17,2563,302,554,856
กำลังแรงงานรวม,18,2564,"10,369","9,639","20,007"
ผู้มีงานทำ,19,2564,"8,186","8,085","16,271"
ผู้ว่างงาน,20,2564,331,169,500
กำลังแรงงานที่รอฤดูกาล,21,2564,226,"1,254","1,480"
ผู้ไม่อยู่ในกำลังแรงงาน,22,2564,"1,626",131,"1,757"
ไม่มีการศึกษา,23,2564,502,844,"1,346"
ต่ำกว่าประถมศึกษา,24,2564,753,"3,115","3,869"
ประถมศึกษา,25,2564,"3,190","1,910","5,100"
มัธยมศึกษา,26,2564,"3,371","2,358","5,729"
อุดมศึกษา,27,2564,"2,242","1,412","3,854"
อื่นๆ และไม่ทราบ,28,2564,110, -   ,110
15-24,29,2564,"4,975","2,043","7,018"
25-34,30,2564,"2,066","2,624","4,689"
35-44,31,2564,"2,059","1,518","3,578"
45-54,32,2564,864,895,"1,759"
55-59,33,2564,284,589,873
60 ปีขึ้นไป,34,2564,120,1970,"2,090"
