_id,ระดับของ green industry,ปี,หน่วย,จำนวนโรงงาน
1,ระดับที่ 1 ความมุ่งมั่น สีเขียว (Green Commitment) ,2560,โรงงาน,14
2,ระดับที่ 2 ปฏิบัติการสีเขียว (Green Activity),2560,โรงงาน,30
3,ระดับที่ 3 ระบบสีเขียว (Green System),2560,โรงงาน,35
4,ระดับที่ 4 วัฒนธรรมสีเขียว (Green Culture),2560,โรงงาน,2
5,ระดับที่ 5 เครือข่ายสีเขียว (Green Network),2560,โรงงาน,0
6,ระดับที่ 1 ความมุ่งมั่น สีเขียว (Green Commitment) ,2561,โรงงาน,9
7,ระดับที่ 2 ปฏิบัติการสีเขียว (Green Activity),2561,โรงงาน,89
8,ระดับที่ 3 ระบบสีเขียว (Green System),2561,โรงงาน,34
9,ระดับที่ 4 วัฒนธรรมสีเขียว (Green Culture),2561,โรงงาน,3
10,ระดับที่ 5 เครือข่ายสีเขียว (Green Network),2561,โรงงาน,0
11,ระดับที่ 1 ความมุ่งมั่น สีเขียว (Green Commitment) ,2562,โรงงาน,13
12,ระดับที่ 2 ปฏิบัติการสีเขียว (Green Activity),2562,โรงงาน,76
13,ระดับที่ 3 ระบบสีเขียว (Green System),2562,โรงงาน,34
14,ระดับที่ 4 วัฒนธรรมสีเขียว (Green Culture),2562,โรงงาน,2
15,ระดับที่ 5 เครือข่ายสีเขียว (Green Network),2562,โรงงาน,0
16,ระดับที่ 1 ความมุ่งมั่น สีเขียว (Green Commitment) ,2563,โรงงาน,10
17,ระดับที่ 2 ปฏิบัติการสีเขียว (Green Activity),2563,โรงงาน,108
18,ระดับที่ 3 ระบบสีเขียว (Green System),2563,โรงงาน,50
19,ระดับที่ 4 วัฒนธรรมสีเขียว (Green Culture),2563,โรงงาน,0
20,ระดับที่ 5 เครือข่ายสีเขียว (Green Network),2563,โรงงาน,0
21,ระดับที่ 1 ความมุ่งมั่น สีเขียว (Green Commitment) ,2564,โรงงาน,7
22,ระดับที่ 2 ปฏิบัติการสีเขียว (Green Activity),2564,โรงงาน,64
23,ระดับที่ 3 ระบบสีเขียว (Green System),2564,โรงงาน,39
24,ระดับที่ 4 วัฒนธรรมสีเขียว (Green Culture),2564,โรงงาน,2
25,ระดับที่ 5 เครือข่ายสีเขียว (Green Network),2564,โรงงาน,0
26,ระดับที่ 1 ความมุ่งมั่น สีเขียว (Green Commitment) ,2565,โรงงาน,2938
27,ระดับที่ 2 ปฏิบัติการสีเขียว (Green Activity),2565,โรงงาน,98
28,ระดับที่ 3 ระบบสีเขียว (Green System),2565,โรงงาน,70
29,ระดับที่ 4 วัฒนธรรมสีเขียว (Green Culture),2565,โรงงาน,1
30,ระดับที่ 5 เครือข่ายสีเขียว (Green Network),2565,โรงงาน,0
31,ระดับที่ 1 ความมุ่งมั่น สีเขียว (Green Commitment) ,2566,โรงงาน,1281
32,ระดับที่ 2 ปฏิบัติการสีเขียว (Green Activity),2566,โรงงาน,81
33,ระดับที่ 3 ระบบสีเขียว (Green System),2566,โรงงาน,61
34,ระดับที่ 4 วัฒนธรรมสีเขียว (Green Culture),2566,โรงงาน,2
35,ระดับที่ 5 เครือข่ายสีเขียว (Green Network),2566,โรงงาน,0
36,ระดับที่ 1 ความมุ่งมั่น สีเขียว (Green Commitment) ,2567,โรงงาน,653
37,ระดับที่ 2 ปฏิบัติการสีเขียว (Green Activity),2567,โรงงาน,93
38,ระดับที่ 3 ระบบสีเขียว (Green System),2567,โรงงาน,50
39,ระดับที่ 4 วัฒนธรรมสีเขียว (Green Culture),2567,โรงงาน,7
40,ระดับที่ 5 เครือข่ายสีเขียว (Green Network),2567,โรงงาน,0
