จำนวน,_id,ปี,ชนิดไม้ผลและไม้ยืนต้น,รายการ
6132.5,1,2565,กล้วยหอม,เนื้อที่เพาะปลูก (ไร่)
3489.5,2,2565,กล้วยหอม,เนื้อที่เก็บเกี่ยว (ไร่)
7879.291,3,2565,กล้วยหอม,ผลผลิต (ตัน)
2258,4,2565,กล้วยหอม,ผลผลิตเฉลี่ยต่อไร่ (กก.)
5030.5,5,2565,กล้วยน้ำว้า,เนื้อที่เพาะปลูก (ไร่)
2514.25,6,2565,กล้วยน้ำว้า,เนื้อที่เก็บเกี่ยว (ไร่)
3733.66125,7,2565,กล้วยน้ำว้า,ผลผลิต (ตัน)
1485,8,2565,กล้วยน้ำว้า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
2304,9,2565,น้อยหน่า,เนื้อที่เพาะปลูก (ไร่)
1381,10,2565,น้อยหน่า,เนื้อที่เก็บเกี่ยว (ไร่)
2893.195,11,2565,น้อยหน่า,ผลผลิต (ตัน)
2095,12,2565,น้อยหน่า,ผลผลิตเฉลี่ยต่อไร่ (กก.)
8277,13,2565,มะม่วง,เนื้อที่เพาะปลูก (ไร่)
6908.5,14,2565,มะม่วง,เนื้อที่เก็บเกี่ยว (ไร่)
8290.2,15,2565,มะม่วง,ผลผลิต (ตัน)
1200,16,2565,มะม่วง,ผลผลิตเฉลี่ยต่อไร่ (กก.)
354.75,17,2565,มะขาม,เนื้อที่เพาะปลูก (ไร่)
229,18,2565,มะขาม,เนื้อที่เก็บเกี่ยว (ไร่)
57.25,19,2565,มะขาม,ผลผลิต (ตัน)
250,20,2565,มะขาม,ผลผลิตเฉลี่ยต่อไร่ (กก.)
634,21,2565,องุ่น,เนื้อที่เพาะปลูก (ไร่)
268,22,2565,องุ่น,เนื้อที่เก็บเกี่ยว (ไร่)
304.984,23,2565,องุ่น,ผลผลิต (ตัน)
1138,24,2565,องุ่น,ผลผลิตเฉลี่ยต่อไร่ (กก.)
7879,25,2565,ปาล์มน้ำมัน,เนื้อที่เพาะปลูก (ไร่)
7135,26,2565,ปาล์มน้ำมัน,เนื้อที่เก็บเกี่ยว (ไร่)
22682.165,27,2565,ปาล์มน้ำมัน,ผลผลิต (ตัน)
3179,28,2565,ปาล์มน้ำมัน,ผลผลิตเฉลี่ยต่อไร่ (กก.)
2265.5,29,2565,ยางพารา,เนื้อที่เพาะปลูก (ไร่)
1746,30,2565,ยางพารา,เนื้อที่เก็บเกี่ยว (ไร่)
