ผู้อยู่ในกำลังแรงงาน,ผู้รอฤดูกาล,_id,ปี,ผู้มีงานทำ,อัตราการว่างงาน,อัตราผู้มีงานทำ,ประขากร 15 ปีขึ้นไป,ไตรมาส,อัตราผู้รอฤดูกาล,ผู้ว่างงาน
432012,575,1,2567,427796,0.84,99.02,657959,1,0.13,3641
427225,1959,2,2567,420162,1.19,98.35,657788,2,0.46,5104
417794,,3,2567,413303,1.07,98.93,659554,3,0,4491
419178,462,4,2567,415115,0.85,99.03,660235,4,0.11,3601
426104,2989,5,2568,420052,0.72,98.58,660923,1,0.7,3063
430766,,6,2568,427216,0.82,99.18,661625,2,0,3549
423674,1649,7,2568,418941,0.73,98.88,662299,3,0.39,3084
421153,4051,8,2568,414448,0.63,98.41,662926,4,0.96,2654
456957,1280,9,2569,451770,0.86,98.86,663561,1,0.28,3907
