_id,ปี,จำนวนโรงงาน
1,2548,1
2,2549,1
3,2550,1
4,2551,1
5,2552,1
6,2553,1
7,2554,1
8,2555,1
9,2556,3
10,2557,3
11,2558,4
12,2559,5
13,2560,5
14,2561,6
15,2562,8
16,2563,8
17,2564,8
18,2565,8
19,2566,7
20,2567,7
