จำนวน,_id,ปี,หน่วยงานเจ้าของ,จังหวัด,หน่วย
12595,1,2562,สำนักงานขนส่งจังหวัดมุกดาหาร ,มุกดาหาร,คัน
11893,2,2563,สำนักงานขนส่งจังหวัดมุกดาหาร ,มุกดาหาร,คัน
12913,3,2564,สำนักงานขนส่งจังหวัดมุกดาหาร ,มุกดาหาร,คัน
13317,4,2565,สำนักงานขนส่งจังหวัดมุกดาหาร ,มุกดาหาร,คัน
12519,5,2566,สำนักงานขนส่งจังหวัดมุกดาหาร ,มุกดาหาร,คัน
194458,6,2567,สำนักงานขนส่งจังหวัดมุกดาหาร ,มุกดาหาร,คัน
11199,7,2568,สำนักงานขนส่งจังหวัดมุกดาหาร ,มุกดาหาร,คัน
