เดือน,_id,ปี,ปริมาณเงินฝากรวม,หน่วย
มกราคม,1,2568," 52,312.00 ",ล้านบาท
กุมภาพันธ์,2,2568," 52,631.00 ",ล้านบาท
มีนาคม,3,2568," 52,801.00 ",ล้านบาท
เมษายน,4,2568," 52,560.00 ",ล้านบาท
พฤษภาคม,5,2568," 51,844.00 ",ล้านบาท
มิถุนายน,6,2568," 51,425.00 ",ล้านบาท
กรกฎาคม,7,2568," 51,300.00 ",ล้านบาท
สิงหาคม,8,2568," 50,961.00 ",ล้านบาท
กันยายน,9,2568," 50,918.00 ",ล้านบาท
ตุลาคม,10,2568," 51,743.00 ",ล้านบาท
พฤศจิกายน,11,2568," 51,931.00 ",ล้านบาท
ธันวาคม,12,2568," 51,530.66 ",ล้านบาท
