dic_id,description_thai,description_en,_id,data_type,field_name
1,ปี,-,1,text,year
2,ไตรมาส,-,2,text,quarter
3,เพศ,-,3,text,sex
4,กลุ่มอายุ,-,4,text,age_group
5,ค่าข้อมูล,-,5,numeric,value
6,หน่วยนับ,-,6,text,unit
7,ที่มาระดับกรม,-,7,text,source
