เดือน,_id,ปี,ค่า,รายการหลัก,รายการรอง,หน่วย
มกราคม,1,2568,1359542,ประชากร,,คน
กุมภาพันธ์,2,2568,1359542,ประชากร,,คน
มีนาคม,3,2568,1359542,ประชากร,,คน
เมษายน,4,2568,1359542,ประชากร,,คน
พฤษภาคม,5,2568,1358215,ประชากร,,คน
มิถุนายน,6,2568,1358215,ประชากร,,คน
มกราคม,7,2568,842938,ประชากรอายุ 15 ปี ขึ้นไป,ประชากรอายุ 15 ปี ขึ้นไป,คน
กุมภาพันธ์,8,2568,842938,ประชากรอายุ 15 ปี ขึ้นไป,ประชากรอายุ 15 ปี ขึ้นไป,คน
มีนาคม,9,2568,842938,ประชากรอายุ 15 ปี ขึ้นไป,ประชากรอายุ 15 ปี ขึ้นไป,คน
เมษายน,10,2568,842938,ประชากรอายุ 15 ปี ขึ้นไป,ประชากรอายุ 15 ปี ขึ้นไป,คน
พฤษภาคม,11,2568,841649,ประชากรอายุ 15 ปี ขึ้นไป,ประชากรอายุ 15 ปี ขึ้นไป,คน
มิถุนายน,12,2568,841649,ประชากรอายุ 15 ปี ขึ้นไป,ประชากรอายุ 15 ปี ขึ้นไป,คน
มกราคม,13,2568,531059,อยู่ในกำลังแรงงาน,อยู่ในกำลังแรงงาน,คน
กุมภาพันธ์,14,2568,531059,อยู่ในกำลังแรงงาน,อยู่ในกำลังแรงงาน,คน
มีนาคม,15,2568,531059,อยู่ในกำลังแรงงาน,อยู่ในกำลังแรงงาน,คน
เมษายน,16,2568,531059,อยู่ในกำลังแรงงาน,อยู่ในกำลังแรงงาน,คน
พฤษภาคม,17,2568,510417,อยู่ในกำลังแรงงาน,อยู่ในกำลังแรงงาน,คน
มิถุนายน,18,2568,510417,อยู่ในกำลังแรงงาน,อยู่ในกำลังแรงงาน,คน
มกราคม,19,2568,524680,อยู่ในกำลังแรงงาน,ผู้มีงานทำ,คน
กุมภาพันธ์,20,2568,524680,อยู่ในกำลังแรงงาน,ผู้มีงานทำ,คน
มีนาคม,21,2568,524680,อยู่ในกำลังแรงงาน,ผู้มีงานทำ,คน
เมษายน,22,2568,524680,อยู่ในกำลังแรงงาน,ผู้มีงานทำ,คน
พฤษภาคม,23,2568,480747,อยู่ในกำลังแรงงาน,ผู้มีงานทำ,คน
มิถุนายน,24,2568,480747,อยู่ในกำลังแรงงาน,ผู้มีงานทำ,คน
มกราคม,25,2568,4757,อยู่ในกำลังแรงงาน,ผู้ว่างงาน,คน
กุมภาพันธ์,26,2568,4757,อยู่ในกำลังแรงงาน,ผู้ว่างงาน,คน
มีนาคม,27,2568,4757,อยู่ในกำลังแรงงาน,ผู้ว่างงาน,คน
เมษายน,28,2568,4757,อยู่ในกำลังแรงงาน,ผู้ว่างงาน,คน
พฤษภาคม,29,2568,1717,อยู่ในกำลังแรงงาน,ผู้ว่างงาน,คน
มิถุนายน,30,2568,1717,อยู่ในกำลังแรงงาน,ผู้ว่างงาน,คน
มกราคม,31,2568,1622,อยู่ในกำลังแรงงาน,ผู้รอฤดูกาล,คน
กุมภาพันธ์,32,2568,1622,อยู่ในกำลังแรงงาน,ผู้รอฤดูกาล,คน
มีนาคม,33,2568,1622,อยู่ในกำลังแรงงาน,ผู้รอฤดูกาล,คน
เมษายน,34,2568,1622,อยู่ในกำลังแรงงาน,ผู้รอฤดูกาล,คน
พฤษภาคม,35,2568,27953,อยู่ในกำลังแรงงาน,ผู้รอฤดูกาล,คน
มิถุนายน,36,2568,27953,อยู่ในกำลังแรงงาน,ผู้รอฤดูกาล,คน
มกราคม,37,2568,311879,ผู้ไม่อยู่ในกำลังแรงงาน,ผู้ไม่อยู่ในกำลังแรงงาน,คน
กุมภาพันธ์,38,2568,311879,ผู้ไม่อยู่ในกำลังแรงงาน,ผู้ไม่อยู่ในกำลังแรงงาน,คน
มีนาคม,39,2568,311879,ผู้ไม่อยู่ในกำลังแรงงาน,ผู้ไม่อยู่ในกำลังแรงงาน,คน
เมษายน,40,2568,311879,ผู้ไม่อยู่ในกำลังแรงงาน,ผู้ไม่อยู่ในกำลังแรงงาน,คน
พฤษภาคม,41,2568,331232,ผู้ไม่อยู่ในกำลังแรงงาน,ผู้ไม่อยู่ในกำลังแรงงาน,คน
มิถุนายน,42,2568,331232,ผู้ไม่อยู่ในกำลังแรงงาน,ผู้ไม่อยู่ในกำลังแรงงาน,คน
มกราคม,43,2568,71089,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,คน
กุมภาพันธ์,44,2568,71089,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,คน
มีนาคม,45,2568,71089,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,คน
เมษายน,46,2568,71089,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,คน
พฤษภาคม,47,2568,74271,ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,คน
