ค่าข้อมูล,ที่มา,_id,ปี,ประเภท/ชนิดโรงงาน,รายการ,จังหวัด,หน่วย
257.83,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,1,2566,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
23.5,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,2,2566,การขุดหรือลอกกรวด ทราย หรือดิน,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
2.5,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,3,2566,การร่อนหรือคัดกรวดหรือทราย,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
54.49,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,4,2566,การดูดทราย,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
239.46,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,5,2566,การฆ่าสัตว์,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
12.5,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,6,2566,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
50.08,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,7,2566,การทำนมสดให้ไร้เชื้อ หรือฆ่าเชื้อ โดยวิธีการใดวิธีการหนึ่ง เช่น การพาสเจอร์ไรส์,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
15.1,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,8,2566,การทำอาหารจากสัตว์น้ำและบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
930.59,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,9,2566,การสี ฝัด หรือขัดข้าว,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
1294.14,สำนักงานอุตสาหกรรมจังหวัดมหาสารคาม,10,2566,การทำแป้ง,เงินทุนของโรงงานจำพวกที่ 2 และจำพวกที่ 3,มหาสารคาม,ล้านบาท
