ชนิดสินค้า,_id,ปีการผลิต,ผลผลิตเฉลี่ย,ผลผลิต,พื้นที่ปลูก,ราคาที่เกษตรกร,มูลค่าผลผลิตตาม
,1,,(กก./ไร่),(ตัน),(ไร่),ขายได้(บาท/กก.),ราคาที่เกษตรกรขายได้
,2,,,,,,(ล้านบาท)
ทุเรียน,3,2561,"1,610","38,951","36,893",69.79,"2,718.39"
มังคุด,4,,398,"14,583","38,863",84.61,"1,233.87"
เงาะ,5,,"1,554","76,181","51,904",24.8,"1,889.29"
ลองกอง,6,,353,"2,971","8,987",34.14,101.43
ยางพารา,7,,206,"62,179","338,597",27.33,"1,699.35"
ปาล์มน้ำมัน,8,,"2,615","160,399","63,107",3.34,535.73
ข้าว,9,,449,"6,873","15,348",9.5,65.29
สับปะรดโรงงาน,10,,"3,837","18,621","4,919",3.21,59.77
สับปะรดตราดสีทอง,11,,"3,490","40,407","16,133",9.91,400.43
ทุเรียน,12,2562,"1,846","48,158","40,439",95,"4,575.01"
มังคุด,13,,929,"34,627","38,923",55,"1,904.48"
เงาะ,14,,"1,762","86,886","52,590",27,"2,345.92"
ลองกอง,15,,464,"3,843","8,297",30,115.29
ยางพารา,16,,204,"60,488","337,707",23.12,"1,398.48"
ปาล์มน้ำมัน,17,,"2,819","172,293","63,821",2.95,508.26
ข้าวนาปี,18,,497,"6,361","14,415",9.5,60.43
สับปะรดโรงงาน,19,,"3,605","20,739","6,219",3.21,66.57
สับปะรดตราดสีทอง,20,,"3,596","54,418","16,003",10.04,546.36
ทุเรียน,21,2563,"1,993","55,176","45,239",100.84,"5,564.04"
มังคุด,22,,"1,113","41,880","39,547",42.51,"1,780.32"
เงาะ,23,,"2,065","104,248","53,526",15.08,"1,572.20"
ลองกอง,24,,540,"4,056","7,530",28.66,116.23
ยางพารา,25,,206,"59,128","329,964",39.12,"2,313.09"
ปาล์มน้ำมัน,26,,"2,710","172,263","64,808",4,689.39
ข้าว,27,,443,"6,735","14,142",8.2,55.23
สับปะรดโรงงาน,28,,"3,307","18,263","5,698",9.36,170.94
สับปะรดตราดสีทอง,29,,"3,528","53,446","16,560",10.43,557.44
ทุเรียน,30,2564,"1,773","56,844","59,199",110.49,"6,280.69"
มังคุด,31,,596,"22,377","39,696",85.48,"1,912.79"
เงาะ,32,,"1,911","93,179","52,791",23.21,"2,162.68"
ลองกอง,33,,504,"3,405","6,771",35.86,122.1
ยางพารา,34,,221,"54,694","316,473",25.2,"1,378.29"
ปาล์มน้ำมัน,35,,"2,694","167,729","64,156",6.34,"1,063.40"
ข้าว,36,,445,"6,176","14,114",6.4,39.53
สับปะรดโรงงาน,37,,"3,164","13,426","5,738",6.15,82.57
สับปะรดตราดสีทอง,38,,"3,231","55,591","17,923",8.49,471.97
ทุเรียน,39,2565,"2,323","86,336","74,700",112.86,"9,744.19"
มังคุด,40,,"1,225","46,052","39,734",57.72,"2,658.34"
เงาะ,41,,"2,295","111,226","52,134",20.49,"2,278.54"
ลองกอง,42,,649,"3,565","5,497",39.09,132.23
ยางพารา,43,,243,"62,957","303,235",22.6,"1,422.84"
ปาล์มน้ำมัน,44,,"2,634","162,527","62,683",7.38,"1,199.44"
ข้าว,45,,452,"6,015","13,546",7.26,43.67
สับปะรดโรงงาน,46,,"3,325","9,595","2,964",6.45,61.84
สับปะรดตราดสีทอง,47,,"3,336","46,833","15,171",9.94,465.59
ทุเรียน,48,2566,"2,102","89,511","92,175",145.35,"13,010.42"
มังคุด,49,,743,"27,920","48,070",70.87,"1,978.69"
เงาะ,50,,"1,851","83,040","39,734",25.46,"2,114.20"
ลองกอง,51,,581,"1,701","2,934",43.17,73.43
ยางพารา,52,,209,"54,514","310,346",21.15,"1,152.97"
ปาล์มน้ำมัน,53,,"2,562","152,490","63,657",5.05,770.07
ข้าว,54,,423,"5,253","12,781",8.66,45.49
สับปะรดโรงงาน,55,,"3,298","7,535","13,504",8.3,62.54
สับปะรดตราดสีทอง,56,,"3,592","44,607","2,435",15.25,680.26
