เดือน,จำนวน,เจ้าของข้อมูล,_id,ปี,รายการ,หน่วย
ม.ค.,1359542,สำนักงานแรงงานจังหวัดสุรินทร์,1,2568,ประชากร,คน
ก.พ.,1359542,สำนักงานแรงงานจังหวัดสุรินทร์,2,2568,ประชากร,คน
มี.ค.,1359542,สำนักงานแรงงานจังหวัดสุรินทร์,3,2568,ประชากร,คน
เม.ย.,1359542,สำนักงานแรงงานจังหวัดสุรินทร์,4,2568,ประชากร,คน
พ.ค.,1358215,สำนักงานแรงงานจังหวัดสุรินทร์,5,2568,ประชากร,คน
มิ.ย.,1358215,สำนักงานแรงงานจังหวัดสุรินทร์,6,2568,ประชากร,คน
ม.ค.,842938,สำนักงานแรงงานจังหวัดสุรินทร์,7,2568,ประชากรอายุ 15 ปี ขึ้นไป,คน
ก.พ.,842938,สำนักงานแรงงานจังหวัดสุรินทร์,8,2568,ประชากรอายุ 15 ปี ขึ้นไป,คน
มี.ค.,842938,สำนักงานแรงงานจังหวัดสุรินทร์,9,2568,ประชากรอายุ 15 ปี ขึ้นไป,คน
เม.ย.,842938,สำนักงานแรงงานจังหวัดสุรินทร์,10,2568,ประชากรอายุ 15 ปี ขึ้นไป,คน
พ.ค.,841649,สำนักงานแรงงานจังหวัดสุรินทร์,11,2568,ประชากรอายุ 15 ปี ขึ้นไป,คน
มิ.ย.,841649,สำนักงานแรงงานจังหวัดสุรินทร์,12,2568,ประชากรอายุ 15 ปี ขึ้นไป,คน
ม.ค.,531059,สำนักงานแรงงานจังหวัดสุรินทร์,13,2568,อยู่ในกำลังแรงงาน,คน
ก.พ.,531059,สำนักงานแรงงานจังหวัดสุรินทร์,14,2568,อยู่ในกำลังแรงงาน,คน
มี.ค.,531059,สำนักงานแรงงานจังหวัดสุรินทร์,15,2568,อยู่ในกำลังแรงงาน,คน
เม.ย.,531059,สำนักงานแรงงานจังหวัดสุรินทร์,16,2568,อยู่ในกำลังแรงงาน,คน
พ.ค.,510417,สำนักงานแรงงานจังหวัดสุรินทร์,17,2568,อยู่ในกำลังแรงงาน,คน
