เดือน,_id,ปี,สินเชื่อเพื่อการลงทุน,หน่วย
มกราคม,1,2568," 11,089.50 ",ล้านบาท
กุมภาพันธ์,2,2568," 11,039.70 ",ล้านบาท
มีนาคม,3,2568," 10,964.10 ",ล้านบาท
เมษายน,4,2568," 10,932.90 ",ล้านบาท
พฤษภาคม,5,2568," 10,943.70 ",ล้านบาท
มิถุนายน,6,2568," 10,979.70 ",ล้านบาท
กรกฎาคม,7,2568," 10,946.10 ",ล้านบาท
สิงหาคม,8,2568," 10,972.50 ",ล้านบาท
กันยายน,9,2568," 10,848.90 ",ล้านบาท
ตุลาคม,10,2568," 10,853.70 ",ล้านบาท
พฤศจิกายน,11,2568," 10,820.70 ",ล้านบาท
ธันวาคม,12,2568," 10,841.10 ",ล้านบาท
