_id,ปี,จำนวน,อำเภอ,หน่วย,ชนิดพืช
1,2565,69,เมืองสมุทรสาคร, ไร่ ,ข้าวนาปรัง 63/64
2,2565,89,เมืองสมุทรสาคร, ไร่ ,ข้าวนาปี 64/65
3,2565,1989,เมืองสมุทรสาคร, ไร่ ,มะพร้าวน้ำหอม
4,2565,444,เมืองสมุทรสาคร, ไร่ ,มะพร้าวแก่
5,2565,371,เมืองสมุทรสาคร, ไร่ ,มะม่วง
6,2565,30,เมืองสมุทรสาคร, ไร่ ,มะนาว
7,2565,293,เมืองสมุทรสาคร, ไร่ ,ฝรั่ง
8,2565,13,เมืองสมุทรสาคร, ไร่ ,ลำไย
9,2565,0,เมืองสมุทรสาคร, ไร่ ,ชมพู่
10,2565,199,เมืองสมุทรสาคร, ไร่ ,กล้วยน้ำว้า
11,2565,550,เมืองสมุทรสาคร, ไร่ ,มะขามเทศ
12,2565,47,เมืองสมุทรสาคร, ไร่ ,แก้วมังกร
13,2565,130,เมืองสมุทรสาคร, ไร่ ,พุทรา
14,2565,0,เมืองสมุทรสาคร, ไร่ ,องุ่น
15,2565,0,เมืองสมุทรสาคร, ไร่ ,กล้วยไม้ 
16,2565,411,เมืองสมุทรสาคร, ไร่ ,พืชผัก 
17,2565,12,เมืองสมุทรสาคร, ไร่ ,สมุนไพร
18,2565,20,เมืองสมุทรสาคร, ไร่ ,ไม้ดอกอื่นๆ
19,2565,19,เมืองสมุทรสาคร, ไร่ ,ไม้ประดับ
20,2565,16788,เมืองสมุทรสาคร, ไร่ ,นาเกลือ
21,2565,106,เมืองสมุทรสาคร, ไร่ ,พืชอื่นๆ
22,2565,2136,กระทุ่มแบน, ไร่ ,ข้าวนาปรัง 63/64
23,2565,2157,กระทุ่มแบน, ไร่ ,ข้าวนาปี 64/65
24,2565,2957,กระทุ่มแบน, ไร่ ,มะพร้าวน้ำหอม
25,2565,110,กระทุ่มแบน, ไร่ ,มะพร้าวแก่
26,2565,1972,กระทุ่มแบน, ไร่ ,มะม่วง
27,2565,402,กระทุ่มแบน, ไร่ ,มะนาว
28,2565,1258,กระทุ่มแบน, ไร่ ,ฝรั่ง
29,2565,225,กระทุ่มแบน, ไร่ ,ลำไย
30,2565,168,กระทุ่มแบน, ไร่ ,ชมพู่
31,2565,595,กระทุ่มแบน, ไร่ ,กล้วยน้ำว้า
32,2565,5,กระทุ่มแบน, ไร่ ,มะขามเทศ
33,2565,10,กระทุ่มแบน, ไร่ ,แก้วมังกร
34,2565,8,กระทุ่มแบน, ไร่ ,พุทรา
35,2565,0,กระทุ่มแบน, ไร่ ,องุ่น
36,2565,2546,กระทุ่มแบน, ไร่ ,กล้วยไม้ 
37,2565,2397,กระทุ่มแบน, ไร่ ,พืชผัก 
38,2565,17,กระทุ่มแบน, ไร่ ,สมุนไพร
39,2565,782,กระทุ่มแบน, ไร่ ,ไม้ดอกอื่นๆ
40,2565,602,กระทุ่มแบน, ไร่ ,ไม้ประดับ
41,2565,-,กระทุ่มแบน, ไร่ ,นาเกลือ
42,2565,279,กระทุ่มแบน, ไร่ ,พืชอื่นๆ
43,2565,355,บ้านแพ้ว, ไร่ ,ข้าวนาปรัง 63/64
44,2565,1610,บ้านแพ้ว, ไร่ ,ข้าวนาปี 64/65
45,2565,40268,บ้านแพ้ว, ไร่ ,มะพร้าวน้ำหอม
46,2565,593,บ้านแพ้ว, ไร่ ,มะพร้าวแก่
