_id,ปี,แหล่งที่มา,เดือน,ประเภท,รถจดทะเบียนใหม่
1,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มกราคม,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,141
2,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มกราคม,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,108
3,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มกราคม,รย. 3 รถยนต์บรรทุกส่วนบุคคล,96
4,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มกราคม,รย. 4 รถยนต์สามล้อส่วนบุคคล,0
5,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มกราคม,รย. 5 รถยนต์รับจ้างระหว่างจังหวัด,0
6,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มกราคม,รย. 6 รถยนต์รับจ้างบรรทุกคนโดยสารไม่เกิน 7 คัน,0
7,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มกราคม,รย. 7 รถยนต์สี่ล้อเล็กรับจ้าง,0
8,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มกราคม,รย. 8 รถยนต์รับจ้างสามล้อ,0
9,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มกราคม,รย. 9 รถยนต์บริการธุรกิจ,0
10,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มกราคม,รย. 10 รถยนต์บริการทัศนาจร,0
11,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มกราคม,รย. 11 รถยนต์บริการให้เช่า,0
12,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มกราคม,รย. 12 รถจักรยานยนต์,860
13,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มกราคม,รย. 13 รถแทรกเตอร์,93
14,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มกราคม,รย. 14 รถบดถนน,3
15,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มกราคม,รย. 15 รถใช้งานเกษตรกรรม,0
16,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มกราคม,รย. 16 รถพ่วง,0
17,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มกราคม,รย. 17 รถจักรยานยนต์สาธารณะ,39
18,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,มกราคม,รย. 18 รถยนต์รับจ้างผ่านระบบอิเล็กทรอนิกส์,0
19,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กุมภาพันธ์,รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน,140
20,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กุมภาพันธ์,รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน,116
21,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,กุมภาพันธ์,รย. 3 รถยนต์บรรทุกส่วนบุคคล,114
