_id,ประเภทโรงงานที่แจ้ง,ปี,โรงงานที่แจ้ง (แห่ง),อำเภอ,ปริมาณกากรวม (กก)
1,101,2568,1,เมืองลพบุรี,"999,000.00"
2,42(1),2568,1,เมืองลพบุรี,"232,020.00"
3,53(4),2568,3,เมืองลพบุรี,"59,560.00"
4,53(5),2568,1,เมืองลพบุรี,"51,933.00"
5,72,2568,1,เมืองลพบุรี,"15,923,983.00"
6,73,2568,1,เมืองลพบุรี,"58,465.00"
7,95(1),2568,2,เมืองลพบุรี,"1,760.00"
8,106,2568,3,โคกสำโรง,"2,601,560.00"
9,88(1),2568,1,โคกสำโรง,"1,546,454.00"
10,106,2568,1,ชัยบาดาล,"313,860.00"
11,15(1),2568,1,ชัยบาดาล,"85,000.00"
12,17,2568,1,ชัยบาดาล,"39,348,880.00"
13,4(1),2568,1,ชัยบาดาล,"83,530.00"
14,4(3),2568,1,ชัยบาดาล,"3,170,840.00"
15,95(1),2568,1,ชัยบาดาล,80
16,22(1),2568,1,ท่าวุ้ง,"1,775,680.00"
17,44,2568,1,ท่าวุ้ง,"2,070.00"
18,53(4),2568,1,ท่าวุ้ง,"155,950.00"
19,53(5),2568,2,ท่าวุ้ง,"183,151.00"
20,88(2),2568,1,ท่าวุ้ง,"150,000.00"
21,11(3),2568,1,ท่าหลวง,"22,779,100.00"
22,101,2568,2,พัฒนานิคม,"4,922,790.00"
23,104,2568,1,พัฒนานิคม,"54,010.00"
24,15(1),2568,4,พัฒนานิคม,"5,338,805.00"
25,15(2),2568,2,พัฒนานิคม,"217,610.00"
26,2(1),2568,1,พัฒนานิคม,"248,978.00"
27,2(11),2568,1,พัฒนานิคม,"10,000.00"
28,2(5),2568,2,พัฒนานิคม,"2,379,913.00"
29,4(1),2568,3,พัฒนานิคม,"7,724,436.00"
30,4(3),2568,8,พัฒนานิคม,"8,900,294.80"
31,43(1),2568,1,พัฒนานิคม,100
32,45(1),2568,1,พัฒนานิคม,"1,000.00"
33,46(2),2568,1,พัฒนานิคม,"180,482.00"
34,56,2568,1,พัฒนานิคม,"10,220,030.00"
35,59,2568,1,พัฒนานิคม,"30,572,230.00"
36,92,2568,1,พัฒนานิคม,"221,491.50"
37,95(1),2568,1,พัฒนานิคม,250
38,89,2568,1,ลำสนธิ,"10,000.00"
39,9(2),2568,1,ลำสนธิ,"989,500.00"
40,11(3),2568,1,สระโบสถ์,"3,046,354,290.00"
41,100(6),2568,1,หนองม่วง,"87,670.00"
42,64(14),2568,1,หนองม่วง,"136,870.00"
43,101,2567,1,เมืองลพบุรี,"968,615.00"
44,12(11),2567,1,เมืองลพบุรี,746
45,2(1),2567,1,เมืองลพบุรี,"3,880.00"
46,42(1),2567,2,เมืองลพบุรี,"16,050.00"
47,45(1),2567,1,เมืองลพบุรี,"1,000.00"
48,53(4),2567,3,เมืองลพบุรี,"77,775.00"
49,72,2567,1,เมืองลพบุรี,"14,027,979.00"
50,73,2567,1,เมืองลพบุรี,"68,205.00"
51,95(1),2567,2,เมืองลพบุรี,"1,620.00"
52,106,2567,1,โคกสำโรง,"558,250.00"
53,105,2567,1,ชัยบาดาล,"174,770.00"
54,17,2567,1,ชัยบาดาล,"6,258,370,559.00"
55,2(1),2567,1,ชัยบาดาล,"1,012,000.00"
56,2(11),2567,1,ชัยบาดาล,"440,890.00"
57,4(1),2567,1,ชัยบาดาล,"29,170.00"
58,4(3),2567,1,ชัยบาดาล,"182,595.00"
59,22(1),2567,1,ท่าวุ้ง,"2,117,890.00"
60,44,2567,1,ท่าวุ้ง,"8,890.00"
61,53(4),2567,1,ท่าวุ้ง,"276,760.00"
62,53(5),2567,2,ท่าวุ้ง,"510,487.00"
63,11(3),2567,1,ท่าหลวง,"32,041,400.00"
64,101,2567,2,พัฒนานิคม,"3,672,890.00"
65,104,2567,1,พัฒนานิคม,"105,920.00"
66,15(1),2567,4,พัฒนานิคม,"4,513,518.50"
67,15(2),2567,1,พัฒนานิคม,"243,240.00"
68,2(1),2567,1,พัฒนานิคม,"183,290.00"
69,2(5),2567,2,พัฒนานิคม,"94,970.00"
70,4(1),2567,2,พัฒนานิคม,"3,367,262.00"
71,4(3),2567,8,พัฒนานิคม,"9,402,316.00"
72,46(2),2567,1,พัฒนานิคม,"137,051.00"
73,56,2567,1,พัฒนานิคม,"8,585,890.00"
74,58(1),2567,1,พัฒนานิคม,"43,780.00"
75,92,2567,1,พัฒนานิคม,"204,414.00"
76,95(1),2567,1,พัฒนานิคม,100
77,9(2),2567,1,ลำสนธิ,"3,655,250.00"
78,11(3),2567,1,สระโบสถ์,"262,234,180.00"
79,100(6),2567,1,หนองม่วง,"232,990.00"
80,64(14),2567,1,หนองม่วง,"1,214,710.00"
81,101,2566,2,เมืองลพบุรี,"1,124,970.00"
82,42(1),2566,1,เมืองลพบุรี,"33,660.00"
83,53(4),2566,3,เมืองลพบุรี,"174,868.00"
84,53(5),2566,1,เมืองลพบุรี,"1,000.00"
85,72,2566,1,เมืองลพบุรี,"14,048,231.02"
86,95(1),2566,2,เมืองลพบุรี,"2,680.00"
87,106,2566,1,โคกสำโรง,"1,097,002.00"
88,105,2566,1,ชัยบาดาล,"4,935.00"
89,15(1),2566,1,ชัยบาดาล,"33,570.00"
90,17,2566,1,ชัยบาดาล,"140,498,442.00"
91,2(11),2566,1,ชัยบาดาล,"533,921.77"
92,4(1),2566,1,ชัยบาดาล,"226,240.00"
93,4(3),2566,1,ชัยบาดาล,"779,820.00"
94,22(1),2566,1,ท่าวุ้ง,"2,403,990.00"
95,44,2566,1,ท่าวุ้ง,"8,620.00"
96,53(4),2566,1,ท่าวุ้ง,"98,460.00"
97,53(5),2566,2,ท่าวุ้ง,"373,530.00"
98,11(3),2566,1,ท่าหลวง,"49,154,070.00"
99,2(1),2566,1,ท่าหลวง,"60,000.00"
100,9(1),2566,1,บ้านหมี่,"2,000.00"
101,101,2566,1,พัฒนานิคม,"2,646,504.56"
102,15(1),2566,4,พัฒนานิคม,"4,218,383.30"
103,15(2),2566,2,พัฒนานิคม,"1,721,660.00"
104,2(1),2566,2,พัฒนานิคม,"306,761.85"
105,2(5),2566,2,พัฒนานิคม,"62,380.00"
106,4(1),2566,2,พัฒนานิคม,"10,142,877.00"
107,4(3),2566,8,พัฒนานิคม,"8,466,005.76"
108,46(2),2566,1,พัฒนานิคม,"160,905.00"
109,56,2566,1,พัฒนานิคม,"29,783,300.00"
110,58(1),2566,1,พัฒนานิคม,"13,000.00"
111,64(12),2566,1,พัฒนานิคม,"16,985.00"
112,90,2566,1,พัฒนานิคม,"12,115.00"
113,92,2566,1,พัฒนานิคม,"224,619.50"
114,95(1),2566,1,พัฒนานิคม,250
115,11(3),2566,1,สระโบสถ์,"70,263,470.00"
116,88(2),2566,1,สระโบสถ์,"10,675,480.00"
117,100(6),2566,1,หนองม่วง,"42,960.00"
118,64(14),2566,1,หนองม่วง,"196,930.00"
