year,_id,value,unit
2558,1,29.8,ร้อยละ
2559,2,29.5,ร้อยละ
2560,3,30.8,ร้อยละ
2561,4,30.8,ร้อยละ
2562,5,30.9,ร้อยละ
2563,6,33.3,ร้อยละ
2564,7,32.1,ร้อยละ
2565,8,33.2,ร้อยละ
2566,9,34.7,ร้อยละ
2567,10,34.9,ร้อยละ
2568,11,34.6,ร้อยละ
