ไตรมาส 4,ไตรมาส 1,_id,ปี,ไตรมาส 3,ระดับการศึกษา,ไตรมาส 2,เพศ,จังหวัด
" 422,594 "," 414,602 ",1,2565," 431,705 ",ยอดรวม," 427,216 ",รวม,สระบุรี
" 232,578 "," 226,465 ",2,2565," 235,210 ",ยอดรวม," 234,705 ",ชาย                         ,สระบุรี
" 190,016 "," 188,137 ",3,2565," 196,495 ",ยอดรวม," 192,511 ",หญิง                        ,สระบุรี
" 8,301 "," 8,972 ",4,2565," 7,899 ",ไม่มีการศึกษา," 8,022 ",รวม,สระบุรี
" 3,115 "," 4,107 ",5,2565," 2,049 ",ไม่มีการศึกษา," 2,620 ",ชาย                         ,สระบุรี
" 5,186 "," 4,865 ",6,2565," 5,850 ",ไม่มีการศึกษา," 5,403 ",หญิง                        ,สระบุรี
" 60,392 "," 63,431 ",7,2565," 64,685 ",ต่ำกว่าประถมศึกษา," 68,657 ",รวม,สระบุรี
" 32,868 "," 28,114 ",8,2565," 33,520 ",ต่ำกว่าประถมศึกษา," 32,050 ",ชาย                         ,สระบุรี
" 27,523 "," 35,317 ",9,2565," 31,165 ",ต่ำกว่าประถมศึกษา," 36,607 ",หญิง                        ,สระบุรี
" 68,181 "," 71,433 ",10,2565," 80,851 ",ประถมศึกษา," 71,044 ",รวม,สระบุรี
" 38,776 "," 45,313 ",11,2565," 45,330 ",ประถมศึกษา," 43,439 ",ชาย                         ,สระบุรี
" 29,405 "," 26,120 ",12,2565," 35,521 ",ประถมศึกษา," 27,605 ",หญิง                        ,สระบุรี
" 80,454 "," 80,879 ",13,2565," 89,173 ",มัธยมศึกษาตอนต้น," 93,494 ",รวม,สระบุรี
" 48,111 "," 48,630 ",14,2565," 50,940 ",มัธยมศึกษาตอนต้น," 54,495 ",ชาย                         ,สระบุรี
" 32,344 "," 32,248 ",15,2565," 38,234 ",มัธยมศึกษาตอนต้น," 38,998 ",หญิง                        ,สระบุรี
" 60,499 "," 61,161 ",16,2565," 57,953 ",มัธยมศึกษาตอนปลาย (สายสามัญ)," 58,875 ",รวม,สระบุรี
" 34,048 "," 36,186 ",17,2565," 31,259 ",มัธยมศึกษาตอนปลาย (สายสามัญ)," 32,443 ",ชาย                         ,สระบุรี
" 26,451 "," 24,974 ",18,2565," 26,694 ",มัธยมศึกษาตอนปลาย (สายสามัญ)," 26,432 ",หญิง                        ,สระบุรี
" 23,703 "," 18,727 ",19,2565," 23,806 ",มัธยมศึกษาตอนปลาย (สายอาชีวศึกษา)," 16,777 ",รวม,สระบุรี
