จำนวน,_id,ปี,อำเภอ,หน่วยวัด
0,1,2560,เมืองสุราษฎร์ธานี,แห่ง
1,2,2560,กาญจนดิษฐ์,แห่ง
2,3,2560,ดอนสัก,แห่ง
1,4,2560,เกาะสมุย,แห่ง
4,5,2560,เกาะพะงัน,แห่ง
1,6,2560,ไชยา,แห่ง
2,7,2560,ท่าชนะ,แห่ง
1,8,2560,คีรีรัฐนิคม,แห่ง
3,9,2560,บ้านตาขุน,แห่ง
1,10,2560,พนม,แห่ง
2,11,2560,ท่าฉาง,แห่ง
1,12,2560,บ้านนาสาร,แห่ง
0,13,2560,บ้านนาเดิม,แห่ง
3,14,2560,เคียนซา,แห่ง
1,15,2560,เวียงสระ,แห่ง
1,16,2560,พระแสง,แห่ง
1,17,2560,พุนพิน,แห่ง
2,18,2560,ชัยบุรี,แห่ง
1,19,2560,วิภาวดี,แห่ง
0,20,2561,เมืองสุราษฎร์ธานี,แห่ง
1,21,2561,กาญจนดิษฐ์,แห่ง
2,22,2561,ดอนสัก,แห่ง
1,23,2561,เกาะสมุย,แห่ง
4,24,2561,เกาะพะงัน,แห่ง
1,25,2561,ไชยา,แห่ง
2,26,2561,ท่าชนะ,แห่ง
1,27,2561,คีรีรัฐนิคม,แห่ง
3,28,2561,บ้านตาขุน,แห่ง
1,29,2561,พนม,แห่ง
2,30,2561,ท่าฉาง,แห่ง
1,31,2561,บ้านนาสาร,แห่ง
0,32,2561,บ้านนาเดิม,แห่ง
3,33,2561,เคียนซา,แห่ง
1,34,2561,เวียงสระ,แห่ง
1,35,2561,พระแสง,แห่ง
1,36,2561,พุนพิน,แห่ง
2,37,2561,ชัยบุรี,แห่ง
1,38,2561,วิภาวดี,แห่ง
0,39,2562,เมืองสุราษฎร์ธานี,แห่ง
1,40,2562,กาญจนดิษฐ์,แห่ง
2,41,2562,ดอนสัก,แห่ง
1,42,2562,เกาะสมุย,แห่ง
4,43,2562,เกาะพะงัน,แห่ง
1,44,2562,ไชยา,แห่ง
2,45,2562,ท่าชนะ,แห่ง
1,46,2562,คีรีรัฐนิคม,แห่ง
3,47,2562,บ้านตาขุน,แห่ง
1,48,2562,พนม,แห่ง
2,49,2562,ท่าฉาง,แห่ง
1,50,2562,บ้านนาสาร,แห่ง
0,51,2562,บ้านนาเดิม,แห่ง
3,52,2562,เคียนซา,แห่ง
1,53,2562,เวียงสระ,แห่ง
1,54,2562,พระแสง,แห่ง
1,55,2562,พุนพิน,แห่ง
2,56,2562,ชัยบุรี,แห่ง
1,57,2562,วิภาวดี,แห่ง
0,58,2563,เมืองสุราษฎร์ธานี,แห่ง
1,59,2563,กาญจนดิษฐ์,แห่ง
2,60,2563,ดอนสัก,แห่ง
1,61,2563,เกาะสมุย,แห่ง
4,62,2563,เกาะพะงัน,แห่ง
1,63,2563,ไชยา,แห่ง
2,64,2563,ท่าชนะ,แห่ง
1,65,2563,คีรีรัฐนิคม,แห่ง
3,66,2563,บ้านตาขุน,แห่ง
1,67,2563,พนม,แห่ง
2,68,2563,ท่าฉาง,แห่ง
1,69,2563,บ้านนาสาร,แห่ง
0,70,2563,บ้านนาเดิม,แห่ง
3,71,2563,เคียนซา,แห่ง
1,72,2563,เวียงสระ,แห่ง
1,73,2563,พระแสง,แห่ง
1,74,2563,พุนพิน,แห่ง
2,75,2563,ชัยบุรี,แห่ง
1,76,2563,วิภาวดี,แห่ง
0,77,2564,เมืองสุราษฎร์ธานี,แห่ง
1,78,2564,กาญจนดิษฐ์,แห่ง
2,79,2564,ดอนสัก,แห่ง
1,80,2564,เกาะสมุย,แห่ง
4,81,2564,เกาะพะงัน,แห่ง
1,82,2564,ไชยา,แห่ง
2,83,2564,ท่าชนะ,แห่ง
1,84,2564,คีรีรัฐนิคม,แห่ง
3,85,2564,บ้านตาขุน,แห่ง
1,86,2564,พนม,แห่ง
2,87,2564,ท่าฉาง,แห่ง
1,88,2564,บ้านนาสาร,แห่ง
0,89,2564,บ้านนาเดิม,แห่ง
3,90,2564,เคียนซา,แห่ง
1,91,2564,เวียงสระ,แห่ง
1,92,2564,พระแสง,แห่ง
1,93,2564,พุนพิน,แห่ง
2,94,2564,ชัยบุรี,แห่ง
1,95,2564,วิภาวดี,แห่ง
0,96,2565,เมืองสุราษฎร์ธานี,แห่ง
0,97,2565,กาญจนดิษฐ์,แห่ง
2,98,2565,ดอนสัก,แห่ง
1,99,2565,เกาะสมุย,แห่ง
4,100,2565,เกาะพะงัน,แห่ง
1,101,2565,ไชยา,แห่ง
2,102,2565,ท่าชนะ,แห่ง
1,103,2565,คีรีรัฐนิคม,แห่ง
3,104,2565,บ้านตาขุน,แห่ง
