จำนวนคน,_id,ปี,อุตสาหกรรม
13430,1,2565,ภาคเกษตร
15379,2,2565,นอกภาคเกษตร
28100,3,2566,ภาคเกษตร
23202,4,2566,นอกภาคเกษตร
