Group,SubGroup,_id,Year,Count,Status
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,1,2556,441177,ผู้มีงานทำ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,2,2556,3091,ผู้ว่างงาน
ผู้อยู่ในกำลังแรงงาน,ผู้ที่รอฤดูกาล,3,2556,788,ผู้ที่รอฤดูกาล
ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,4,2556,47215,ทำงานบ้าน
ผู้ไม่อยู่ในกำลังแรงงาน, เรียนหนังสือ,5,2556,45546, เรียนหนังสือ
ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,6,2556,61831,อื่นๆ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,7,2557,433959,ผู้มีงานทำ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,8,2557,5451,ผู้ว่างงาน
ผู้อยู่ในกำลังแรงงาน,ผู้ที่รอฤดูกาล,9,2557,2775,ผู้ที่รอฤดูกาล
ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,10,2557,61561,ทำงานบ้าน
ผู้ไม่อยู่ในกำลังแรงงาน, เรียนหนังสือ,11,2557,39236, เรียนหนังสือ
ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,12,2557,82815,อื่นๆ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,13,2558,421956,ผู้มีงานทำ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,14,2558,3174,ผู้ว่างงาน
ผู้อยู่ในกำลังแรงงาน,ผู้ที่รอฤดูกาล,15,2558,3888,ผู้ที่รอฤดูกาล
ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,16,2558,70080,ทำงานบ้าน
ผู้ไม่อยู่ในกำลังแรงงาน, เรียนหนังสือ,17,2558,42185, เรียนหนังสือ
ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,18,2558,84680,อื่นๆ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,19,2559,418307,ผู้มีงานทำ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,20,2559,7137,ผู้ว่างงาน
ผู้อยู่ในกำลังแรงงาน,ผู้ที่รอฤดูกาล,21,2559,5995,ผู้ที่รอฤดูกาล
ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,22,2559,66670,ทำงานบ้าน
ผู้ไม่อยู่ในกำลังแรงงาน, เรียนหนังสือ,23,2559,38546, เรียนหนังสือ
ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,24,2559,89567,อื่นๆ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,25,2560,411368,ผู้มีงานทำ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,26,2560,5458,ผู้ว่างงาน
ผู้อยู่ในกำลังแรงงาน,ผู้ที่รอฤดูกาล,27,2560,9099,ผู้ที่รอฤดูกาล
ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,28,2560,74324,ทำงานบ้าน
ผู้ไม่อยู่ในกำลังแรงงาน, เรียนหนังสือ,29,2560,40290, เรียนหนังสือ
ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,30,2560,85816,อื่นๆ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,31,2561,413282,ผู้มีงานทำ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,32,2561,5503,ผู้ว่างงาน
ผู้อยู่ในกำลังแรงงาน,ผู้ที่รอฤดูกาล,33,2561,6990,ผู้ที่รอฤดูกาล
ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,34,2561,72065,ทำงานบ้าน
ผู้ไม่อยู่ในกำลังแรงงาน, เรียนหนังสือ,35,2561,37533, เรียนหนังสือ
ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,36,2561,90916,อื่นๆ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,37,2562,411033,ผู้มีงานทำ
ผู้อยู่ในกำลังแรงงาน,กำลังแรงงานปัจจุบัน,38,2562,5229,ผู้ว่างงาน
