จำนวน,ที่มา,_id,ปี,หน่วยนับ,รายการ,จังหวัด
"1,606",สำนักงานอุตสาหกรรมจังหวัดพิจิตร,1,2561,ตัน,ปริมาณการกำจัดกากของเสียอุตสาหกรรม,พิจิตร
"60,325",สำนักงานอุตสาหกรรมจังหวัดพิจิตร,2,2562,ตัน,ปริมาณการกำจัดกากของเสียอุตสาหกรรม,พิจิตร
"31,284",สำนักงานอุตสาหกรรมจังหวัดพิจิตร,3,2563,ตัน,ปริมาณการกำจัดกากของเสียอุตสาหกรรม,พิจิตร
"148,994",สำนักงานอุตสาหกรรมจังหวัดพิจิตร,4,2564,ตัน,ปริมาณการกำจัดกากของเสียอุตสาหกรรม,พิจิตร
"126,237",สำนักงานอุตสาหกรรมจังหวัดพิจิตร,5,2565,ตัน,ปริมาณการกำจัดกากของเสียอุตสาหกรรม,พิจิตร
"110,213",สำนักงานอุตสาหกรรมจังหวัดพิจิตร,6,2566,ตัน,ปริมาณการกำจัดกากของเสียอุตสาหกรรม,พิจิตร
