data,province,_id,tombon,year,value,amphor,unit,source
จำนวนพื้นที่ปลูกลิ้นจี่รายตำบล,สมุทรสงคราม,1,แม่กลอง,2564,0,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกลิ้นจี่รายตำบล,สมุทรสงคราม,2,บางขันแตก,2564,7,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกลิ้นจี่รายตำบล,สมุทรสงคราม,3,ลาดใหญ่,2564,0,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกลิ้นจี่รายตำบล,สมุทรสงคราม,4,บ้านปรก,2564,0,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกลิ้นจี่รายตำบล,สมุทรสงคราม,5,บางแก้ว,2564,0,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกลิ้นจี่รายตำบล,สมุทรสงคราม,6,ท้ายหาด,2564,2,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกลิ้นจี่รายตำบล,สมุทรสงคราม,7,แหลมใหญ่,2564,0,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกลิ้นจี่รายตำบล,สมุทรสงคราม,8,คลองเขิน,2564,0,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกลิ้นจี่รายตำบล,สมุทรสงคราม,9,คลองโคน,2564,0,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกลิ้นจี่รายตำบล,สมุทรสงคราม,10,นางตะเคียน,2564,0,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกลิ้นจี่รายตำบล,สมุทรสงคราม,11,บางจะเกร็ง,2564,0,เมืองสมุทรสงคราม,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกลิ้นจี่รายตำบล,สมุทรสงคราม,12,กระดังงา,2564,339,บางคนที,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกลิ้นจี่รายตำบล,สมุทรสงคราม,13,บางสะแก,2564,930,บางคนที,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกลิ้นจี่รายตำบล,สมุทรสงคราม,14,บางยี่รงค์,2564,189,บางคนที,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกลิ้นจี่รายตำบล,สมุทรสงคราม,15,โรงหีบ,2564,338,บางคนที,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
จำนวนพื้นที่ปลูกลิ้นจี่รายตำบล,สมุทรสงคราม,16,บางคนที,2564,26,บางคนที,ไร่,สำนักงานเกษตรจังหวัดสมุทรสงคราม
