AGE_GROUP,VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
35-39 ปี,87.31,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,35,ยอดรวม,ร้อยละ,ภาคใต้,2567
40-49 ปี,88.37,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,36,ยอดรวม,ร้อยละ,ภาคใต้,2567
50-59 ปี,84.07,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,37,ยอดรวม,ร้อยละ,ภาคใต้,2567
60 ปีขึ้นไป,39.74,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,38,ยอดรวม,ร้อยละ,ภาคใต้,2567
ยอดรวม,78.28,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,39,ชาย,ร้อยละ,ภาคใต้,2567
15-19 ปี,16.45,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,40,ชาย,ร้อยละ,ภาคใต้,2567
20-24 ปี,74.75,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,41,ชาย,ร้อยละ,ภาคใต้,2567
25-29 ปี,95.34,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,42,ชาย,ร้อยละ,ภาคใต้,2567
30-34 ปี,95.91,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,43,ชาย,ร้อยละ,ภาคใต้,2567
35-39 ปี,95.51,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,44,ชาย,ร้อยละ,ภาคใต้,2567
40-49 ปี,95.25,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,45,ชาย,ร้อยละ,ภาคใต้,2567
50-59 ปี,93.99,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,46,ชาย,ร้อยละ,ภาคใต้,2567
60 ปีขึ้นไป,53.48,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,47,ชาย,ร้อยละ,ภาคใต้,2567
ยอดรวม,58.51,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,48,หญิง,ร้อยละ,ภาคใต้,2567
15-19 ปี,5.65,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,49,หญิง,ร้อยละ,ภาคใต้,2567
20-24 ปี,53.51,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,50,หญิง,ร้อยละ,ภาคใต้,2567
25-29 ปี,75.37,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,51,หญิง,ร้อยละ,ภาคใต้,2567
30-34 ปี,78.27,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,52,หญิง,ร้อยละ,ภาคใต้,2567
35-39 ปี,79.05,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,53,หญิง,ร้อยละ,ภาคใต้,2567
40-49 ปี,81.67,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,54,หญิง,ร้อยละ,ภาคใต้,2567
50-59 ปี,74.88,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,55,หญิง,ร้อยละ,ภาคใต้,2567
60 ปีขึ้นไป,29.68,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,56,หญิง,ร้อยละ,ภาคใต้,2567
15-19 ปี,19.42,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,57,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
15-19 ปี,9.85,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,58,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
20-24 ปี,54.46,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,59,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
20-24 ปี,63.72,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,60,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
25-29 ปี,96.12,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,61,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
25-29 ปี,88.76,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,62,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
30-34 ปี,88.64,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,63,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
30-34 ปี,96.87,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,64,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
35-39 ปี,95.83,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,65,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
35-39 ปี,89.39,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,66,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
40-49 ปี,96.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,67,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
40-49 ปี,86.31,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,68,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
50-59 ปี,73.31,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,69,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
50-59 ปี,91.5,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,70,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
60 ปีขึ้นไป,27.96,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,71,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
60 ปีขึ้นไป,38.58,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,72,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
รวม,67.26,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,73,หญิง,ร้อยละ,กรุงเทพมหานคร,2568
รวม,80.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,74,ชาย,ร้อยละ,กรุงเทพมหานคร,2568
รวม,73.49,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,75,รวม,ร้อยละ,กรุงเทพมหานคร,2568
รวม,67.53,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,76,รวม,ร้อยละ,ทั่วราชอาณาจักร,2568
25-29 ปี,88.64,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,77,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2568
25-29 ปี,76.77,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,78,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2568
30-34 ปี,91.54,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,79,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2568
30-34 ปี,79.28,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,80,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2568
35-39 ปี,77.41,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,81,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2568
35-39 ปี,91.49,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,82,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2568
40-49 ปี,79.43,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,83,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2568
40-49 ปี,92.16,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,84,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2568
50-59 ปี,91.66,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,85,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2568
50-59 ปี,71.36,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,86,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2568
60 ปีขึ้นไป,51.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,87,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2568
60 ปีขึ้นไป,25.47,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,88,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2568
รวม,70.59,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,89,ชาย,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2568
รวม,51.77,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,90,หญิง,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2568
รวม,60.68,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,91,รวม,ร้อยละ,ภาคตะวันออกเฉียงเหนือ,2568
15-19 ปี,17.94,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,92,ชาย,ร้อยละ,ภาคเหนือ,2568
15-19 ปี,8.29,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,93,หญิง,ร้อยละ,ภาคเหนือ,2568
