ประเภท,เนื้อที่สะสม,ภาค,รายละเอียด,_id,หน่วย,ปีเพาะปลูก,สภาพการเพาะปลูก,หมวดหมู่,จังหวัด,ลักษณะการใช้พื้นที่
นาปรัง 2,,เหนือ,เสียหาย,38,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,แม่ฮ่องสอน,น้ำท่วม 
นาปรัง 2,,เหนือ,เสียหาย,39,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,แม่ฮ่องสอน,น้ำแล้ง 
นาปรัง 2,,เหนือ,เสียหาย,40,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,แม่ฮ่องสอน,"โรค,แมลง "
นาปรัง,,เหนือ,เก็บเกี่ยว,41,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,แม่ฮ่องสอน,เก็บเกี่ยว
นาปรัง 2,,เหนือ,เก็บเกี่ยว,42,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,แม่ฮ่องสอน,เก็บเกี่ยว
พื้นที่คาดการณ์,8698,เหนือ,พื้นที่คาดการณ์,43,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,แม่ฮ่องสอน,พื้นที่คาดการณ์
พืชไร่,7835,เหนือ,ปลูก,44,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,แม่ฮ่องสอน,ปลูก 
พืชผัก,1525,เหนือ,ปลูก,45,ไร่,2565/66,พืชไร่-พืชผัก,ข้าวนาปรัง,แม่ฮ่องสอน,ปลูก 
พื้นที่ชลประทาน,342790,เหนือ,พื้นที่ชลประทาน,46,ไร่,2565/66,พื้นที่ชลประทาน,ข้าวนาปรัง,เชียงราย,พื้นที่ชลประทาน
พื้นที่คาดการณ์,110659,เหนือ,พื้นที่คาดการณ์,47,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เชียงราย,พื้นที่คาดการณ์
นาปรัง,121786,เหนือ,ปลูก,48,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เชียงราย,ปลูก
นาปรัง 2,,เหนือ,ปลูก,49,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เชียงราย,ปลูก
นาปรัง,,เหนือ,เสียหาย,50,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เชียงราย,น้ำท่วม
นาปรัง,,เหนือ,เสียหาย,51,ไร่,2565/66,นาปรัง,ข้าวนาปรัง,เชียงราย,น้ำแล้ง
