จำนวนโรงงาน,_id,ปี,ปริมาณกากของเสีย,หน่วย
"1,733",1,2564,"721,918.07",ตัน
"1,826",2,2565,"709,905.22",ตัน
1934,3,2566,"698,349.66",ตัน
2090,4,2567,"631,283.55",ตัน
2116,5,2568,538341.67,ตัน
