จำนวนผู้ว่างงาน,กำลังแรงงาน,ผู้รอฤดูกาล,_id,ปี,อัตราการว่างงาน,หน่วย
" 3,137 "," 479,989 ", 500 ,1,2555,0.65, คน 
" 5,184 "," 482,438 "," 1,030 ",2,2556,1.07, คน 
" 3,512 "," 446,734 "," 3,085 ",3,2557,0.79, คน 
" 19,343 "," 453,574 "," 4,637 ",4,2558,4.26, คน 
" 3,833 "," 445,025 "," 4,924 ",5,2559,0.86, คน 
" 4,715 "," 430,594 "," 3,618 ",6,2560,1.09, คน 
" 5,009 "," 440,613 ", 507 ,7,2561,1.14, คน 
" 5,780 "," 441,648 "," 2,638 ",8,2562,1.31, คน 
" 10,427 "," 438,803 "," 9,088 ",9,2563,2.38, คน 
" 11,755 "," 437,698 "," 2,786 ",10,2564,2.69, คน 
" 7,206 "," 457,202 "," 2,130 ",11,2565,1.58, คน 
" 8,028 "," 446,570 ", 775 ,12,2566,1.8, คน 
" 5,121 "," 445,061 "," 2,133 ",13,2567,1.15, คน 
