รายการ,จำนวน,_id,ปี_พศ
ธุรกิจนำเที่ยวที่ได้รับใบอนุญาต,9,1,2560
ธุรกิจนำเที่ยวที่ได้รับใบอนุญาต,9,2,2561
ธุรกิจนำเที่ยวที่ได้รับใบอนุญาต,11,3,2562
ธุรกิจนำเที่ยวที่ได้รับใบอนุญาต,11,4,2563
ธุรกิจนำเที่ยวที่ได้รับใบอนุญาต,11,5,2564
ธุรกิจนำเที่ยวที่ได้รับใบอนุญาต,11,6,2565
ธุรกิจนำเที่ยวที่ได้รับใบอนุญาต,14,7,2566
ธุรกิจนำเที่ยวที่ได้รับใบอนุญาต,14,8,2567
